i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.139,0.00,0.25,0.48553,0.323,0.30,0.35,1.3654,1.0000,1.5000,0.06987,0.00,0.10,FuuA,8239.23070,50.05897,823.92307,He3,pi-
1,11,0.125,0.00,0.25,0.52578,0.323,0.30,0.35,1.3223,1.0000,1.5000,0.12789,0.10,0.15,FuuA,7819.43389,40.85957,781.94339,He3,pi-
2,11,0.115,0.00,0.25,0.55874,0.323,0.30,0.35,1.2955,1.0000,1.5000,0.17680,0.15,0.20,FuuA,7190.38175,31.31201,719.03817,He3,pi-
3,11,0.108,0.00,0.25,0.59003,0.323,0.30,0.35,1.2764,1.0000,1.5000,0.22586,0.20,0.25,FuuA,6391.91739,27.23849,639.19174,He3,pi-
4,11,0.102,0.00,0.25,0.61978,0.323,0.30,0.35,1.2616,1.0000,1.5000,0.27477,0.25,0.30,FuuA,5515.31570,24.20907,551.53157,He3,pi-
5,11,0.097,0.00,0.25,0.64533,0.323,0.30,0.35,1.2499,1.0000,1.5000,0.32464,0.30,0.35,FuuA,4616.27251,22.93094,461.62725,He3,pi-
6,11,0.094,0.00,0.25,0.66336,0.323,0.30,0.35,1.2432,1.0000,1.5000,0.37493,0.35,0.40,FuuA,3757.56187,22.88146,375.75619,He3,pi-
7,11,0.092,0.00,0.25,0.67602,0.324,0.30,0.35,1.2390,1.0000,1.5000,0.42496,0.40,0.45,FuuA,2981.00959,23.92815,298.10096,He3,pi-
8,11,0.091,0.00,0.25,0.68260,0.323,0.30,0.35,1.2360,1.0000,1.5000,0.47505,0.45,0.50,FuuA,2305.99949,24.80172,230.59995,He3,pi-
9,11,0.091,0.00,0.25,0.68703,0.324,0.30,0.35,1.2345,1.0000,1.5000,0.52536,0.50,0.55,FuuA,1730.23625,26.36614,173.02363,He3,pi-
10,11,0.089,0.00,0.25,0.69506,0.325,0.30,0.35,1.2332,1.0000,1.5000,0.57370,0.55,0.60,FuuA,1272.12706,30.57966,127.21271,He3,pi-
11,11,0.087,0.00,0.25,0.70608,0.326,0.30,0.35,1.2295,1.0000,1.5000,0.64086,0.60,0.70,FuuA,812.53401,28.06753,81.25340,He3,pi-
12,11,0.082,0.00,0.25,0.73822,0.328,0.30,0.35,1.2239,1.0000,1.5000,0.74024,0.70,0.80,FuuA,377.59179,51.09142,37.75918,He3,pi-
13,11,0.076,0.00,0.25,0.78566,0.334,0.30,0.35,1.2220,1.0000,1.5000,0.84320,0.80,1.60,FuuA,146.91200,133.95360,14.69120,He3,pi-
14,11,0.140,0.00,0.25,0.48066,0.373,0.35,0.40,1.3707,1.0000,1.5000,0.07002,0.00,0.10,FuuA,5421.36619,61.03542,542.13662,He3,pi-
15,11,0.128,0.00,0.25,0.51574,0.373,0.35,0.40,1.3310,1.0000,1.5000,0.12951,0.10,0.15,FuuA,5178.47923,50.66136,517.84792,He3,pi-
16,11,0.119,0.00,0.25,0.54374,0.373,0.35,0.40,1.3058,1.0000,1.5000,0.17827,0.15,0.20,FuuA,4820.99407,40.27269,482.09941,He3,pi-
17,11,0.112,0.00,0.25,0.57076,0.373,0.35,0.40,1.2868,1.0000,1.5000,0.22631,0.20,0.25,FuuA,4362.50176,34.95103,436.25018,He3,pi-
18,11,0.106,0.00,0.25,0.59752,0.373,0.35,0.40,1.2715,1.0000,1.5000,0.27501,0.25,0.30,FuuA,3836.15098,30.53795,383.61510,He3,pi-
19,11,0.101,0.00,0.25,0.62353,0.373,0.35,0.40,1.2589,1.0000,1.5000,0.32543,0.30,0.35,FuuA,3266.28930,28.20395,326.62893,He3,pi-
20,11,0.097,0.00,0.25,0.64482,0.373,0.35,0.40,1.2493,1.0000,1.5000,0.37454,0.35,0.40,FuuA,2726.72238,28.44393,272.67224,He3,pi-
21,11,0.094,0.00,0.25,0.66095,0.374,0.35,0.40,1.2429,1.0000,1.5000,0.42441,0.40,0.45,FuuA,2218.04829,27.50800,221.80483,He3,pi-
22,11,0.092,0.00,0.25,0.67332,0.374,0.35,0.40,1.2392,1.0000,1.5000,0.47556,0.45,0.50,FuuA,1748.91369,29.45226,174.89137,He3,pi-
23,11,0.091,0.00,0.25,0.68084,0.374,0.35,0.40,1.2363,1.0000,1.5000,0.52571,0.50,0.55,FuuA,1353.39531,31.09776,135.33953,He3,pi-
24,11,0.091,0.00,0.25,0.68377,0.374,0.35,0.40,1.2343,1.0000,1.5000,0.57488,0.55,0.60,FuuA,1028.99403,34.06514,102.89940,He3,pi-
25,11,0.090,0.00,0.25,0.69255,0.375,0.35,0.40,1.2326,1.0000,1.5000,0.64469,0.60,0.70,FuuA,672.85360,27.37953,67.28536,He3,pi-
26,11,0.087,0.00,0.25,0.70629,0.376,0.35,0.40,1.2284,1.0000,1.5000,0.74060,0.70,0.80,FuuA,344.96844,40.90976,34.49684,He3,pi-
27,11,0.082,0.00,0.25,0.74024,0.378,0.35,0.40,1.2228,1.0000,1.5000,0.85524,0.80,1.60,FuuA,144.93089,62.89597,14.49309,He3,pi-
28,11,0.141,0.00,0.25,0.47822,0.423,0.40,0.45,1.3729,1.0000,1.5000,0.07323,0.00,0.10,FuuA,3651.54339,70.73889,365.15434,He3,pi-
29,11,0.131,0.00,0.25,0.50546,0.423,0.40,0.45,1.3415,1.0000,1.5000,0.12915,0.10,0.15,FuuA,3516.55337,70.36800,351.65534,He3,pi-
30,11,0.123,0.00,0.25,0.53022,0.423,0.40,0.45,1.3167,1.0000,1.5000,0.17562,0.15,0.20,FuuA,3321.69646,49.67571,332.16965,He3,pi-
31,11,0.116,0.00,0.25,0.55548,0.423,0.40,0.45,1.2959,1.0000,1.5000,0.22596,0.20,0.25,FuuA,3040.03794,43.13658,304.00379,He3,pi-
32,11,0.110,0.00,0.25,0.57954,0.423,0.40,0.45,1.2804,1.0000,1.5000,0.27548,0.25,0.30,FuuA,2712.03444,38.11827,271.20344,He3,pi-
33,11,0.105,0.00,0.25,0.60401,0.423,0.40,0.45,1.2676,1.0000,1.5000,0.32568,0.30,0.35,FuuA,2354.81492,34.93077,235.48149,He3,pi-
34,11,0.100,0.00,0.25,0.62667,0.423,0.40,0.45,1.2571,1.0000,1.5000,0.37589,0.35,0.40,FuuA,1996.19152,33.66853,199.61915,He3,pi-
