i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.135,0.00,0.25,0.49569,0.318,0.30,0.35,1.3531,1.0000,1.5000,0.07108,0.00,0.10,FuuA,3147.87588,224.45475,472.18138,He3,K-
1,11,0.120,0.00,0.25,0.53984,0.319,0.30,0.35,1.3052,1.0000,1.5000,0.12823,0.10,0.15,FuuA,2937.32678,171.82185,440.59902,He3,K-
2,11,0.110,0.00,0.25,0.57434,0.319,0.30,0.35,1.2792,1.0000,1.5000,0.17709,0.15,0.20,FuuA,2661.55260,127.05323,399.23289,He3,K-
3,11,0.103,0.00,0.25,0.60741,0.319,0.30,0.35,1.2607,1.0000,1.5000,0.22608,0.20,0.25,FuuA,2337.50655,107.04960,350.62598,He3,K-
4,11,0.097,0.00,0.25,0.63848,0.320,0.30,0.35,1.2468,1.0000,1.5000,0.27502,0.25,0.30,FuuA,1997.18001,92.45018,299.57700,He3,K-
5,11,0.093,0.00,0.25,0.66406,0.320,0.30,0.35,1.2354,1.0000,1.5000,0.32479,0.30,0.35,FuuA,1667.22134,85.67384,250.08320,He3,K-
6,11,0.090,0.00,0.25,0.68200,0.320,0.30,0.35,1.2289,1.0000,1.5000,0.37507,0.35,0.40,FuuA,1354.93908,83.91463,203.24086,He3,K-
7,11,0.088,0.00,0.25,0.69366,0.321,0.30,0.35,1.2250,1.0000,1.5000,0.42509,0.40,0.45,FuuA,1073.13892,86.08302,160.97084,He3,K-
8,11,0.087,0.00,0.25,0.69967,0.321,0.30,0.35,1.2222,1.0000,1.5000,0.47518,0.45,0.50,FuuA,826.89177,87.47785,124.03377,He3,K-
9,11,0.086,0.00,0.25,0.70761,0.321,0.30,0.35,1.2193,1.0000,1.5000,0.52532,0.50,0.55,FuuA,623.07788,92.53010,93.46168,He3,K-
10,11,0.085,0.00,0.25,0.71690,0.322,0.30,0.35,1.2168,1.0000,1.5000,0.57367,0.55,0.60,FuuA,466.54597,108.02879,69.98190,He3,K-
11,11,0.083,0.00,0.25,0.72931,0.324,0.30,0.35,1.2126,1.0000,1.5000,0.64105,0.60,0.70,FuuA,301.65439,98.67852,45.24816,He3,K-
12,11,0.078,0.00,0.25,0.75865,0.327,0.30,0.35,1.2093,1.0000,1.5000,0.74030,0.70,0.80,FuuA,142.26078,177.25994,21.33912,He3,K-
13,11,0.074,0.00,0.25,0.79683,0.334,0.30,0.35,1.2046,1.0000,1.5000,0.84237,0.80,1.60,FuuA,57.92357,469.22700,8.68854,He3,K-
14,11,0.135,0.00,0.25,0.49218,0.374,0.35,0.40,1.3537,1.0000,1.5000,0.07112,0.00,0.10,FuuA,2607.53204,291.70937,391.12981,He3,K-
15,11,0.122,0.00,0.25,0.53004,0.374,0.35,0.40,1.3091,1.0000,1.5000,0.12998,0.10,0.15,FuuA,2460.53207,227.13819,369.07981,He3,K-
