i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.226,0.00,0.25,0.57829,0.340,0.30,0.40,2.6894,2.5000,3.0000,0.06562,0.00,0.10,FuuA,1725.17972,64.61998,172.51797,He3,pi-
1,11,0.222,0.00,0.25,0.59019,0.345,0.30,0.40,2.6895,2.5000,3.0000,0.15339,0.10,0.20,FuuA,1486.57006,39.42721,148.65701,He3,pi-
2,11,0.217,0.00,0.25,0.60329,0.344,0.30,0.40,2.6911,2.5000,3.0000,0.24954,0.20,0.30,FuuA,1206.01746,36.37402,120.60175,He3,pi-
3,11,0.215,0.00,0.25,0.60892,0.346,0.30,0.40,2.6850,2.5000,3.0000,0.34643,0.30,0.40,FuuA,874.44120,42.37032,87.44412,He3,pi-
4,11,0.216,0.00,0.25,0.60665,0.349,0.30,0.40,2.6845,2.5000,3.0000,0.44800,0.40,0.50,FuuA,555.82903,50.02244,55.58290,He3,pi-
5,11,0.217,0.00,0.25,0.60414,0.344,0.30,0.40,2.6844,2.5000,3.0000,0.54425,0.50,0.60,FuuA,344.21044,70.82778,34.42104,He3,pi-
6,11,0.217,0.00,0.25,0.60322,0.344,0.30,0.40,2.6846,2.5000,3.0000,0.64078,0.60,0.70,FuuA,186.67279,70.97627,18.66728,He3,pi-
7,11,0.216,0.00,0.25,0.60678,0.358,0.30,0.40,2.6903,2.5000,3.0000,0.77959,0.70,1.60,FuuA,64.63243,96.71228,6.46324,He3,pi-
8,11,0.227,0.00,0.25,0.57643,0.440,0.40,0.50,2.6898,2.5000,3.0000,0.07027,0.00,0.10,FuuA,728.81141,91.87579,72.88114,He3,pi-
9,11,0.224,0.00,0.25,0.58543,0.445,0.40,0.50,2.6867,2.5000,3.0000,0.15735,0.10,0.20,FuuA,644.10342,60.13146,64.41034,He3,pi-
10,11,0.220,0.00,0.25,0.59622,0.444,0.40,0.50,2.6919,2.5000,3.0000,0.25435,0.20,0.30,FuuA,542.54557,50.17117,54.25456,He3,pi-
11,11,0.216,0.00,0.25,0.60589,0.449,0.40,0.50,2.6895,2.5000,3.0000,0.35047,0.30,0.40,FuuA,408.81166,55.50519,40.88117,He3,pi-
12,11,0.215,0.00,0.25,0.60929,0.446,0.40,0.50,2.6838,2.5000,3.0000,0.44881,0.40,0.50,FuuA,300.63504,59.81434,30.06350,He3,pi-
13,11,0.216,0.00,0.25,0.60689,0.441,0.40,0.50,2.6837,2.5000,3.0000,0.54139,0.50,0.60,FuuA,206.02122,92.77345,20.60212,He3,pi-
14,11,0.216,0.00,0.25,0.60500,0.449,0.40,0.50,2.6842,2.5000,3.0000,0.64653,0.60,0.70,FuuA,116.67756,79.48578,11.66776,He3,pi-
15,11,0.217,0.00,0.25,0.60387,0.449,0.40,0.50,2.6849,2.5000,3.0000,0.85377,0.70,1.60,FuuA,34.65743,94.92445,3.46574,He3,pi-
16,11,0.227,0.00,0.25,0.57637,0.549,0.50,0.60,2.6892,2.5000,3.0000,0.08736,0.00,0.10,FuuA,300.64361,112.06537,30.06436,He3,pi-
17,11,0.224,0.00,0.25,0.58414,0.540,0.50,0.60,2.6856,2.5000,3.0000,0.17339,0.10,0.20,FuuA,296.34067,91.19854,29.63407,He3,pi-
18,11,0.222,0.00,0.25,0.59107,0.548,0.50,0.60,2.6889,2.5000,3.0000,0.25734,0.20,0.30,FuuA,245.67469,79.52872,24.56747,He3,pi-
19,11,0.219,0.00,0.25,0.59979,0.544,0.50,0.60,2.6921,2.5000,3.0000,0.34666,0.30,0.40,FuuA,210.69286,70.94368,21.06929,He3,pi-
20,11,0.215,0.00,0.25,0.60771,0.544,0.50,0.60,2.6871,2.5000,3.0000,0.45639,0.40,0.50,FuuA,155.49133,70.70029,15.54913,He3,pi-
21,11,0.215,0.00,0.25,0.60939,0.550,0.50,0.60,2.6825,2.5000,3.0000,0.55725,0.50,0.60,FuuA,105.88891,112.04102,10.58889,He3,pi-
22,11,0.215,0.00,0.25,0.60771,0.549,0.50,0.60,2.6828,2.5000,3.0000,0.64172,0.60,0.70,FuuA,75.99066,112.61708,7.59907,He3,pi-
23,11,0.216,0.00,0.25,0.60717,0.544,0.50,0.60,2.6845,2.5000,3.0000,0.84255,0.70,1.60,FuuA,31.37055,92.69721,3.13705,He3,pi-
