i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.225,0.00,0.25,0.58101,0.326,0.30,0.40,2.6847,2.5000,3.0000,0.06754,0.00,0.10,FuuA,490.41484,243.73643,73.56223,He3,K-
1,11,0.220,0.00,0.25,0.59381,0.329,0.30,0.40,2.6851,2.5000,3.0000,0.15443,0.10,0.20,FuuA,444.88978,154.33152,66.73347,He3,K-
2,11,0.215,0.00,0.25,0.60721,0.329,0.30,0.40,2.6846,2.5000,3.0000,0.24920,0.20,0.30,FuuA,357.29729,139.95998,53.59459,He3,K-
3,11,0.214,0.00,0.25,0.61114,0.330,0.30,0.40,2.6790,2.5000,3.0000,0.34779,0.30,0.40,FuuA,260.35869,163.10214,39.05380,He3,K-
4,11,0.215,0.00,0.25,0.60860,0.333,0.30,0.40,2.6788,2.5000,3.0000,0.44857,0.40,0.50,FuuA,171.19633,194.35410,25.67945,He3,K-
5,11,0.216,0.00,0.25,0.60572,0.328,0.30,0.40,2.6777,2.5000,3.0000,0.54245,0.50,0.60,FuuA,99.14649,251.80127,14.87197,He3,K-
6,11,0.216,0.00,0.25,0.60594,0.329,0.30,0.40,2.6809,2.5000,3.0000,0.63931,0.60,0.70,FuuA,53.60359,249.95876,8.04054,He3,K-
7,11,0.213,0.00,0.25,0.61410,0.344,0.30,0.40,2.6884,2.5000,3.0000,0.77003,0.70,1.60,FuuA,22.75354,401.16259,3.41303,He3,K-
8,11,0.225,0.00,0.25,0.58070,0.445,0.40,0.50,2.6886,2.5000,3.0000,0.06967,0.00,0.10,FuuA,448.34227,456.17109,67.25134,He3,K-
9,11,0.221,0.00,0.25,0.59062,0.449,0.40,0.50,2.6839,2.5000,3.0000,0.15709,0.10,0.20,FuuA,402.79883,291.32960,60.41983,He3,K-
10,11,0.218,0.00,0.25,0.60119,0.448,0.40,0.50,2.6868,2.5000,3.0000,0.25443,0.20,0.30,FuuA,338.64207,240.53071,50.79631,He3,K-
11,11,0.214,0.00,0.25,0.61056,0.453,0.40,0.50,2.6838,2.5000,3.0000,0.35113,0.30,0.40,FuuA,259.68870,258.68253,38.95330,He3,K-
12,11,0.212,0.00,0.25,0.61463,0.450,0.40,0.50,2.6778,2.5000,3.0000,0.45046,0.40,0.50,FuuA,188.19488,276.89826,28.22923,He3,K-
13,11,0.213,0.00,0.25,0.61233,0.445,0.40,0.50,2.6785,2.5000,3.0000,0.54182,0.50,0.60,FuuA,128.41781,429.15451,19.26267,He3,K-
14,11,0.214,0.00,0.25,0.61029,0.453,0.40,0.50,2.6784,2.5000,3.0000,0.64694,0.60,0.70,FuuA,76.02688,352.65237,11.40403,He3,K-
15,11,0.214,0.00,0.25,0.61001,0.453,0.40,0.50,2.6799,2.5000,3.0000,0.85614,0.70,1.60,FuuA,22.34646,406.30390,3.35197,He3,K-
16,11,0.226,0.00,0.25,0.57936,0.556,0.50,0.60,2.6876,2.5000,3.0000,0.08939,0.00,0.10,FuuA,292.64221,390.61910,43.89633,He3,K-
17,11,0.222,0.00,0.25,0.58819,0.547,0.50,0.60,2.6833,2.5000,3.0000,0.17458,0.10,0.20,FuuA,278.69822,327.07292,41.80473,He3,K-
18,11,0.220,0.00,0.25,0.59485,0.555,0.50,0.60,2.6859,2.5000,3.0000,0.25893,0.20,0.30,FuuA,238.42426,272.43859,35.76364,He3,K-
19,11,0.217,0.00,0.25,0.60364,0.550,0.50,0.60,2.6879,2.5000,3.0000,0.34931,0.30,0.40,FuuA,199.99170,245.37771,29.99876,He3,K-
20,11,0.214,0.00,0.25,0.61159,0.551,0.50,0.60,2.6825,2.5000,3.0000,0.45784,0.40,0.50,FuuA,148.66276,241.19591,22.29941,He3,K-
21,11,0.213,0.00,0.25,0.61377,0.557,0.50,0.60,2.6781,2.5000,3.0000,0.55819,0.50,0.60,FuuA,104.56920,368.54039,15.68538,He3,K-
22,11,0.213,0.00,0.25,0.61211,0.556,0.50,0.60,2.6781,2.5000,3.0000,0.64530,0.60,0.70,FuuA,74.15860,367.93601,11.12379,He3,K-
23,11,0.213,0.00,0.25,0.61334,0.551,0.50,0.60,2.6800,2.5000,3.0000,0.84442,0.70,1.60,FuuA,30.14340,305.30872,4.52151,He3,K-
