i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.202,0.00,0.25,0.51889,0.343,0.30,0.40,1.7055,1.5000,2.0000,0.06654,0.00,0.10,FuuA,3660.23029,39.00406,366.02303,He3,pi-
1,11,0.194,0.00,0.25,0.53958,0.346,0.30,0.40,1.7007,1.5000,2.0000,0.12877,0.10,0.15,FuuA,3320.40397,40.95889,332.04040,He3,pi-
2,11,0.189,0.00,0.25,0.55554,0.346,0.30,0.40,1.6966,1.5000,2.0000,0.17786,0.15,0.20,FuuA,3053.63774,40.86548,305.36377,He3,pi-
3,11,0.185,0.00,0.25,0.56433,0.346,0.30,0.40,1.6912,1.5000,2.0000,0.22679,0.20,0.25,FuuA,2755.01097,40.68386,275.50110,He3,pi-
4,11,0.184,0.00,0.25,0.56677,0.343,0.30,0.40,1.6874,1.5000,2.0000,0.27629,0.25,0.30,FuuA,2453.06710,43.62719,245.30671,He3,pi-
5,11,0.185,0.00,0.25,0.56456,0.345,0.30,0.40,1.6867,1.5000,2.0000,0.32570,0.30,0.35,FuuA,2049.77028,46.69059,204.97703,He3,pi-
6,11,0.186,0.00,0.25,0.56131,0.349,0.30,0.40,1.6875,1.5000,2.0000,0.37489,0.35,0.40,FuuA,1660.53223,50.11444,166.05322,He3,pi-
7,11,0.187,0.00,0.25,0.55753,0.344,0.30,0.40,1.6870,1.5000,2.0000,0.42433,0.40,0.45,FuuA,1394.76974,54.67251,139.47697,He3,pi-
8,11,0.188,0.00,0.25,0.55451,0.343,0.30,0.40,1.6859,1.5000,2.0000,0.47304,0.45,0.50,FuuA,1103.16849,55.26512,110.31685,He3,pi-
9,11,0.186,0.00,0.25,0.56480,0.353,0.30,0.40,1.6956,1.5000,2.0000,0.57950,0.50,1.60,FuuA,603.25990,36.42046,60.32599,He3,pi-
10,11,0.203,0.00,0.25,0.51640,0.474,0.40,0.60,1.7055,1.5000,2.0000,0.06812,0.00,0.10,FuuA,1350.34896,46.42123,135.03490,He3,pi-
11,11,0.199,0.00,0.25,0.52678,0.488,0.40,0.60,1.7019,1.5000,2.0000,0.12955,0.10,0.15,FuuA,1145.54179,46.54485,114.55418,He3,pi-
12,11,0.194,0.00,0.25,0.53890,0.473,0.40,0.60,1.6989,1.5000,2.0000,0.17544,0.15,0.20,FuuA,1207.62103,46.49846,120.76210,He3,pi-
13,11,0.190,0.00,0.25,0.54976,0.480,0.40,0.60,1.6962,1.5000,2.0000,0.22280,0.20,0.25,FuuA,1056.65668,43.56458,105.66567,He3,pi-
14,11,0.187,0.00,0.25,0.55894,0.474,0.40,0.60,1.6920,1.5000,2.0000,0.26989,0.25,0.30,FuuA,999.38088,46.33818,99.93809,He3,pi-
