i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.198,0.00,0.25,0.53193,0.333,0.30,0.40,1.7159,1.5000,2.0000,0.06676,0.00,0.10,FuuA,1415.78301,204.71458,212.36745,He3,K-
1,11,0.189,0.00,0.25,0.55715,0.337,0.30,0.40,1.7066,1.5000,2.0000,0.12903,0.10,0.15,FuuA,1311.01796,213.62828,196.65269,He3,K-
2,11,0.183,0.00,0.25,0.57212,0.337,0.30,0.40,1.7005,1.5000,2.0000,0.17757,0.15,0.20,FuuA,1204.77380,208.86177,180.71607,He3,K-
3,11,0.180,0.00,0.25,0.58027,0.337,0.30,0.40,1.6931,1.5000,2.0000,0.22637,0.20,0.25,FuuA,1086.08987,204.99449,162.91348,He3,K-
4,11,0.180,0.00,0.25,0.58189,0.335,0.30,0.40,1.6905,1.5000,2.0000,0.27631,0.25,0.30,FuuA,949.89208,216.20289,142.48381,He3,K-
5,11,0.181,0.00,0.25,0.57904,0.337,0.30,0.40,1.6897,1.5000,2.0000,0.32649,0.30,0.35,FuuA,804.32764,231.29705,120.64915,He3,K-
6,11,0.181,0.00,0.25,0.57566,0.340,0.30,0.40,1.6885,1.5000,2.0000,0.37568,0.35,0.40,FuuA,667.40524,247.50070,100.11079,He3,K-
7,11,0.184,0.00,0.25,0.56976,0.333,0.30,0.40,1.6910,1.5000,2.0000,0.42503,0.40,0.45,FuuA,534.98576,257.43459,80.24786,He3,K-
8,11,0.183,0.00,0.25,0.57202,0.334,0.30,0.40,1.6955,1.5000,2.0000,0.47347,0.45,0.50,FuuA,420.32654,262.09527,63.04898,He3,K-
9,11,0.177,0.00,0.25,0.58934,0.349,0.30,0.40,1.6964,1.5000,2.0000,0.57359,0.50,1.60,FuuA,256.00784,190.57796,38.40118,He3,K-
10,11,0.198,0.00,0.25,0.52616,0.498,0.40,0.60,1.7002,1.5000,2.0000,0.06800,0.00,0.10,FuuA,850.04702,200.18607,127.50705,He3,K-
11,11,0.194,0.00,0.25,0.53839,0.508,0.40,0.60,1.6955,1.5000,2.0000,0.13037,0.10,0.15,FuuA,766.33407,189.27497,114.95011,He3,K-
12,11,0.189,0.00,0.25,0.55164,0.496,0.40,0.60,1.6919,1.5000,2.0000,0.17680,0.15,0.20,FuuA,757.52862,195.80991,113.62929,He3,K-
13,11,0.185,0.00,0.25,0.56242,0.501,0.40,0.60,1.6884,1.5000,2.0000,0.22308,0.20,0.25,FuuA,684.55368,177.33287,102.68305,He3,K-
14,11,0.182,0.00,0.25,0.57210,0.496,0.40,0.60,1.6846,1.5000,2.0000,0.26877,0.25,0.30,FuuA,636.23547,189.98595,95.43532,He3,K-
15,11,0.180,0.00,0.25,0.57746,0.514,0.40,0.60,1.6815,1.5000,2.0000,0.32295,0.30,0.35,FuuA,531.16225,156.32777,79.67434,He3,K-
16,11,0.178,0.00,0.25,0.58247,0.504,0.40,0.60,1.6776,1.5000,2.0000,0.37953,0.35,0.40,FuuA,470.66656,196.39478,70.59998,He3,K-
17,11,0.178,0.00,0.25,0.58309,0.504,0.40,0.60,1.6764,1.5000,2.0000,0.43150,0.40,0.45,FuuA,399.70193,196.66540,59.95529,He3,K-
18,11,0.178,0.00,0.25,0.58205,0.498,0.40,0.60,1.6758,1.5000,2.0000,0.47890,0.45,0.50,FuuA,338.94057,240.25630,50.84108,He3,K-
19,11,0.173,0.00,0.25,0.59527,0.510,0.40,0.60,1.6773,1.5000,2.0000,0.64960,0.50,1.60,FuuA,177.17680,111.98405,26.57652,He3,K-
20,11,0.230,0.00,0.25,0.55720,0.332,0.30,0.40,2.1121,2.0000,2.5000,0.05727,0.00,0.10,FuuA,789.19246,535.90142,118.37887,He3,K-
21,11,0.228,0.00,0.25,0.56368,0.326,0.30,0.40,2.1134,2.0000,2.5000,0.12628,0.10,0.15,FuuA,721.25439,411.36513,108.18816,He3,K-
22,11,0.226,0.00,0.25,0.56682,0.334,0.30,0.40,2.1091,2.0000,2.5000,0.19032,0.15,0.20,FuuA,659.00415,548.45467,98.85062,He3,K-
23,11,0.227,0.00,0.25,0.56507,0.317,0.30,0.40,2.1122,2.0000,2.5000,0.24248,0.20,0.25,FuuA,555.07407,629.65980,83.26111,He3,K-
24,11,0.225,0.00,0.25,0.56740,0.375,0.30,0.40,2.1029,2.0000,2.5000,0.25360,0.25,0.30,FuuA,631.21541,1019.05980,94.68231,He3,K-
25,11,0.227,0.00,0.25,0.56499,0.333,0.30,0.40,2.1101,2.0000,2.5000,0.31109,0.30,0.35,FuuA,471.02908,540.06082,70.65436,He3,K-
26,11,0.228,0.00,0.25,0.56363,0.317,0.30,0.40,2.1129,2.0000,2.5000,0.37403,0.35,0.40,FuuA,348.42936,600.06540,52.26440,He3,K-
27,11,0.227,0.00,0.25,0.56506,0.335,0.30,0.40,2.1107,2.0000,2.5000,0.51613,0.40,1.60,FuuA,195.18501,358.90708,29.27775,He3,K-
28,11,0.229,0.00,0.25,0.55836,0.425,0.40,0.60,2.1067,2.0000,2.5000,0.08242,0.00,0.10,FuuA,672.55188,890.55780,100.88278,He3,K-
29,11,0.229,0.00,0.25,0.55887,0.504,0.40,0.60,2.1061,2.0000,2.5000,0.11515,0.10,0.15,FuuA,480.23629,494.51969,72.03544,He3,K-
30,11,0.228,0.00,0.25,0.56108,0.536,0.40,0.60,2.1063,2.0000,2.5000,0.15805,0.15,0.20,FuuA,427.17639,444.73088,64.07646,He3,K-
31,11,0.226,0.00,0.25,0.56645,0.454,0.40,0.60,2.1038,2.0000,2.5000,0.22721,0.20,0.25,FuuA,491.18332,578.07541,73.67750,He3,K-
32,11,0.226,0.00,0.25,0.56651,0.526,0.40,0.60,2.1036,2.0000,2.5000,0.27352,0.25,0.30,FuuA,353.45288,632.38560,53.01793,He3,K-
33,11,0.226,0.00,0.25,0.56633,0.475,0.40,0.60,2.1029,2.0000,2.5000,0.33922,0.30,0.35,FuuA,354.12065,753.48900,53.11810,He3,K-
34,11,0.226,0.00,0.25,0.56563,0.537,0.40,0.60,2.1035,2.0000,2.5000,0.36837,0.35,0.40,FuuA,287.57660,437.47765,43.13649,He3,K-
35,11,0.225,0.00,0.25,0.56739,0.498,0.40,0.60,2.1034,2.0000,2.5000,0.58363,0.40,1.60,FuuA,150.01756,323.53878,22.50263,He3,K-
