i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.226,0.00,0.25,0.57793,0.346,0.30,0.40,2.6895,2.5000,3.0000,0.06592,0.00,0.10,FuuA,2417.39846,52.97174,241.73985,He3,pi+
1,11,0.222,0.00,0.25,0.59019,0.343,0.30,0.40,2.6899,2.5000,3.0000,0.15428,0.10,0.20,FuuA,2203.93106,32.65890,220.39311,He3,pi+
2,11,0.217,0.00,0.25,0.60296,0.346,0.30,0.40,2.6919,2.5000,3.0000,0.25034,0.20,0.30,FuuA,1729.94902,30.06633,172.99490,He3,pi+
3,11,0.215,0.00,0.25,0.60877,0.347,0.30,0.40,2.6857,2.5000,3.0000,0.34779,0.30,0.40,FuuA,1262.21526,34.97702,126.22153,He3,pi+
4,11,0.216,0.00,0.25,0.60622,0.346,0.30,0.40,2.6850,2.5000,3.0000,0.44713,0.40,0.50,FuuA,834.21770,42.62356,83.42177,He3,pi+
5,11,0.217,0.00,0.25,0.60380,0.346,0.30,0.40,2.6851,2.5000,3.0000,0.54945,0.50,0.60,FuuA,479.53876,52.54168,47.95388,He3,pi+
6,11,0.217,0.00,0.25,0.60295,0.349,0.30,0.40,2.6852,2.5000,3.0000,0.65026,0.60,0.70,FuuA,248.97931,64.52963,24.89793,He3,pi+
7,11,0.216,0.00,0.25,0.60652,0.357,0.30,0.40,2.6914,2.5000,3.0000,0.78032,0.70,1.60,FuuA,97.75988,79.98298,9.77599,He3,pi+
8,11,0.227,0.00,0.25,0.57639,0.443,0.40,0.50,2.6901,2.5000,3.0000,0.07118,0.00,0.10,FuuA,1122.20236,71.35894,112.22024,He3,pi+
9,11,0.224,0.00,0.25,0.58495,0.443,0.40,0.50,2.6870,2.5000,3.0000,0.15517,0.10,0.20,FuuA,1031.19209,49.98822,103.11921,He3,pi+
10,11,0.220,0.00,0.25,0.59505,0.446,0.40,0.50,2.6919,2.5000,3.0000,0.24893,0.20,0.30,FuuA,853.35660,39.82775,85.33566,He3,pi+
11,11,0.217,0.00,0.25,0.60520,0.445,0.40,0.50,2.6900,2.5000,3.0000,0.34844,0.30,0.40,FuuA,662.08498,42.27173,66.20850,He3,pi+
12,11,0.215,0.00,0.25,0.60849,0.449,0.40,0.50,2.6847,2.5000,3.0000,0.44764,0.40,0.50,FuuA,463.61911,49.90454,46.36191,He3,pi+
13,11,0.216,0.00,0.25,0.60620,0.446,0.40,0.50,2.6845,2.5000,3.0000,0.54982,0.50,0.60,FuuA,306.97813,60.41830,30.69781,He3,pi+
14,11,0.217,0.00,0.25,0.60428,0.450,0.40,0.50,2.6849,2.5000,3.0000,0.65639,0.60,0.70,FuuA,175.69594,79.28350,17.56959,He3,pi+
15,11,0.217,0.00,0.25,0.60326,0.447,0.40,0.50,2.6852,2.5000,3.0000,0.83414,0.70,1.60,FuuA,66.19935,69.93606,6.61994,He3,pi+
16,11,0.228,0.00,0.25,0.57450,0.549,0.50,0.60,2.6924,2.5000,3.0000,0.06567,0.00,0.10,FuuA,523.20365,111.92846,52.32036,He3,pi+
17,11,0.225,0.00,0.25,0.58207,0.540,0.50,0.60,2.6863,2.5000,3.0000,0.15586,0.10,0.20,FuuA,515.12159,65.09574,51.51216,He3,pi+
18,11,0.222,0.00,0.25,0.59034,0.549,0.50,0.60,2.6896,2.5000,3.0000,0.25448,0.20,0.30,FuuA,421.66898,56.17653,42.16690,He3,pi+
19,11,0.219,0.00,0.25,0.59955,0.543,0.50,0.60,2.6925,2.5000,3.0000,0.34946,0.30,0.40,FuuA,357.88183,55.88485,35.78818,He3,pi+
20,11,0.216,0.00,0.25,0.60635,0.545,0.50,0.60,2.6886,2.5000,3.0000,0.44466,0.40,0.50,FuuA,270.57356,60.26419,27.05736,He3,pi+
21,11,0.215,0.00,0.25,0.60868,0.554,0.50,0.60,2.6844,2.5000,3.0000,0.53975,0.50,0.60,FuuA,189.14673,70.99034,18.91467,He3,pi+
22,11,0.216,0.00,0.25,0.60704,0.541,0.50,0.60,2.6837,2.5000,3.0000,0.63011,0.60,0.70,FuuA,140.48587,91.12029,14.04859,He3,pi+
23,11,0.216,0.00,0.25,0.60656,0.550,0.50,0.60,2.6854,2.5000,3.0000,0.82997,0.70,1.60,FuuA,57.20932,67.71766,5.72093,He3,pi+
