i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.226,0.00,0.25,0.57928,0.354,0.30,0.40,2.6926,2.5000,3.0000,0.06671,0.00,0.10,FuuA,557.90006,134.60055,83.68501,He3,K+
1,11,0.222,0.00,0.25,0.59148,0.352,0.30,0.40,2.6928,2.5000,3.0000,0.15465,0.10,0.20,FuuA,493.22366,83.60353,73.98355,He3,K+
2,11,0.217,0.00,0.25,0.60406,0.355,0.30,0.40,2.6940,2.5000,3.0000,0.25067,0.20,0.30,FuuA,406.51703,74.87140,60.97755,He3,K+
3,11,0.215,0.00,0.25,0.61002,0.356,0.30,0.40,2.6876,2.5000,3.0000,0.34876,0.30,0.40,FuuA,300.29724,86.11979,45.04459,He3,K+
4,11,0.216,0.00,0.25,0.60764,0.354,0.30,0.40,2.6871,2.5000,3.0000,0.44743,0.40,0.50,FuuA,198.03490,103.71108,29.70524,He3,K+
5,11,0.216,0.00,0.25,0.60511,0.354,0.30,0.40,2.6867,2.5000,3.0000,0.54826,0.50,0.60,FuuA,118.36525,124.00383,17.75479,He3,K+
6,11,0.217,0.00,0.25,0.60404,0.357,0.30,0.40,2.6871,2.5000,3.0000,0.65005,0.60,0.70,FuuA,65.25040,145.55229,9.78756,He3,K+
7,11,0.216,0.00,0.25,0.60831,0.365,0.30,0.40,2.6926,2.5000,3.0000,0.78370,0.70,1.60,FuuA,26.86211,173.01896,4.02932,He3,K+
8,11,0.227,0.00,0.25,0.57729,0.447,0.40,0.50,2.6918,2.5000,3.0000,0.07120,0.00,0.10,FuuA,443.42896,136.07346,66.51434,He3,K+
9,11,0.223,0.00,0.25,0.58640,0.447,0.40,0.50,2.6881,2.5000,3.0000,0.15509,0.10,0.20,FuuA,408.19953,95.18798,61.22993,He3,K+
10,11,0.220,0.00,0.25,0.59630,0.449,0.40,0.50,2.6930,2.5000,3.0000,0.24919,0.20,0.30,FuuA,340.25090,75.09955,51.03764,He3,K+
11,11,0.216,0.00,0.25,0.60648,0.449,0.40,0.50,2.6908,2.5000,3.0000,0.34883,0.30,0.40,FuuA,263.95154,79.03919,39.59273,He3,K+
12,11,0.215,0.00,0.25,0.60978,0.453,0.40,0.50,2.6854,2.5000,3.0000,0.44830,0.40,0.50,FuuA,187.48875,91.57781,28.12331,He3,K+
13,11,0.216,0.00,0.25,0.60728,0.449,0.40,0.50,2.6855,2.5000,3.0000,0.55100,0.50,0.60,FuuA,122.95234,109.82947,18.44285,He3,K+
14,11,0.216,0.00,0.25,0.60544,0.453,0.40,0.50,2.6855,2.5000,3.0000,0.65808,0.60,0.70,FuuA,71.22720,140.27942,10.68408,He3,K+
15,11,0.216,0.00,0.25,0.60523,0.450,0.40,0.50,2.6867,2.5000,3.0000,0.83727,0.70,1.60,FuuA,26.23380,120.15915,3.93507,He3,K+
16,11,0.228,0.00,0.25,0.57536,0.552,0.50,0.60,2.6934,2.5000,3.0000,0.06620,0.00,0.10,FuuA,299.46753,170.90524,44.92013,He3,K+
17,11,0.224,0.00,0.25,0.58298,0.543,0.50,0.60,2.6875,2.5000,3.0000,0.15564,0.10,0.20,FuuA,286.90064,101.09222,43.03510,He3,K+
18,11,0.222,0.00,0.25,0.59130,0.552,0.50,0.60,2.6910,2.5000,3.0000,0.25452,0.20,0.30,FuuA,241.59741,85.02186,36.23961,He3,K+
19,11,0.218,0.00,0.25,0.60053,0.546,0.50,0.60,2.6931,2.5000,3.0000,0.34974,0.30,0.40,FuuA,201.17556,85.28284,30.17633,He3,K+
20,11,0.216,0.00,0.25,0.60717,0.549,0.50,0.60,2.6896,2.5000,3.0000,0.44404,0.40,0.50,FuuA,154.47325,91.00220,23.17099,He3,K+
21,11,0.215,0.00,0.25,0.60963,0.557,0.50,0.60,2.6855,2.5000,3.0000,0.53986,0.50,0.60,FuuA,111.43550,104.52758,16.71532,He3,K+
22,11,0.215,0.00,0.25,0.60784,0.544,0.50,0.60,2.6847,2.5000,3.0000,0.63066,0.60,0.70,FuuA,79.04566,136.20100,11.85685,He3,K+
23,11,0.215,0.00,0.25,0.60905,0.552,0.50,0.60,2.6865,2.5000,3.0000,0.82656,0.70,1.60,FuuA,34.06826,98.15150,5.11024,He3,K+
