i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.164,0.00,0.25,0.46507,0.324,0.30,0.35,1.2329,1.0000,1.5000,0.06474,0.00,0.10,FuuA,11387.71339,30.54478,1138.77134,He3,pi+
1,11,0.152,0.00,0.25,0.51057,0.324,0.30,0.35,1.2321,1.0000,1.5000,0.12558,0.10,0.15,FuuA,10065.31785,31.10479,1006.53179,He3,pi+
2,11,0.142,0.00,0.25,0.54518,0.324,0.30,0.35,1.2257,1.0000,1.5000,0.17459,0.15,0.20,FuuA,8943.25191,28.45307,894.32519,He3,pi+
3,11,0.136,0.00,0.25,0.56899,0.324,0.30,0.35,1.2205,1.0000,1.5000,0.22482,0.20,0.25,FuuA,7805.77392,26.87208,780.57739,He3,pi+
4,11,0.132,0.00,0.25,0.58381,0.324,0.30,0.35,1.2161,1.0000,1.5000,0.27536,0.25,0.30,FuuA,6675.27369,27.44056,667.52737,He3,pi+
5,11,0.131,0.00,0.25,0.59021,0.324,0.30,0.35,1.2115,1.0000,1.5000,0.32508,0.30,0.35,FuuA,5612.25244,28.54832,561.22524,He3,pi+
6,11,0.132,0.00,0.25,0.58749,0.324,0.30,0.35,1.2069,1.0000,1.5000,0.37457,0.35,0.40,FuuA,4642.06458,30.25158,464.20646,He3,pi+
7,11,0.134,0.00,0.25,0.57579,0.324,0.30,0.35,1.2050,1.0000,1.5000,0.42536,0.40,0.45,FuuA,3747.10935,30.32963,374.71094,He3,pi+
8,11,0.134,0.00,0.25,0.57992,0.325,0.30,0.35,1.2137,1.0000,1.5000,0.47549,0.45,0.50,FuuA,2863.73766,33.36327,286.37377,He3,pi+
9,11,0.129,0.00,0.25,0.60163,0.326,0.30,0.35,1.2216,1.0000,1.5000,0.52476,0.50,0.55,FuuA,2108.80355,40.24913,210.88035,He3,pi+
10,11,0.117,0.00,0.25,0.65208,0.329,0.30,0.35,1.2233,1.0000,1.5000,0.60071,0.55,1.60,FuuA,1285.56172,42.77860,128.55617,He3,pi+
11,11,0.165,0.00,0.25,0.46146,0.374,0.35,0.40,1.2315,1.0000,1.5000,0.06386,0.00,0.10,FuuA,7872.00995,36.54133,787.20099,He3,pi+
12,11,0.156,0.00,0.25,0.49554,0.374,0.35,0.40,1.2325,1.0000,1.5000,0.12496,0.10,0.15,FuuA,7071.11961,35.10424,707.11196,He3,pi+
13,11,0.146,0.00,0.25,0.53048,0.374,0.35,0.40,1.2277,1.0000,1.5000,0.17596,0.15,0.20,FuuA,6303.92163,32.54757,630.39216,He3,pi+
14,11,0.139,0.00,0.25,0.55558,0.374,0.35,0.40,1.2227,1.0000,1.5000,0.22488,0.20,0.25,FuuA,5567.92385,32.27276,556.79239,He3,pi+
15,11,0.135,0.00,0.25,0.57267,0.374,0.35,0.40,1.2186,1.0000,1.5000,0.27410,0.25,0.30,FuuA,4838.02481,30.86316,483.80248,He3,pi+
16,11,0.132,0.00,0.25,0.58396,0.374,0.35,0.40,1.2147,1.0000,1.5000,0.32451,0.30,0.35,FuuA,4112.77882,32.10811,411.27788,He3,pi+
17,11,0.131,0.00,0.25,0.58922,0.374,0.35,0.40,1.2108,1.0000,1.5000,0.37397,0.35,0.40,FuuA,3442.08097,33.74835,344.20810,He3,pi+
18,11,0.132,0.00,0.25,0.58722,0.374,0.35,0.40,1.2067,1.0000,1.5000,0.42383,0.40,0.45,FuuA,2829.06172,35.44789,282.90617,He3,pi+
19,11,0.134,0.00,0.25,0.57657,0.374,0.35,0.40,1.2038,1.0000,1.5000,0.47416,0.45,0.50,FuuA,2283.89575,37.49018,228.38958,He3,pi+
20,11,0.135,0.00,0.25,0.57463,0.374,0.35,0.40,1.2090,1.0000,1.5000,0.52509,0.50,0.55,FuuA,1763.30839,38.51681,176.33084,He3,pi+
21,11,0.126,0.00,0.25,0.61462,0.377,0.35,0.40,1.2202,1.0000,1.5000,0.62270,0.55,1.60,FuuA,1006.84004,31.16793,100.68400,He3,pi+
22,11,0.166,0.00,0.25,0.45933,0.424,0.40,0.45,1.2303,1.0000,1.5000,0.06340,0.00,0.10,FuuA,5518.14075,43.56411,551.81408,He3,pi+
23,11,0.159,0.00,0.25,0.48508,0.424,0.40,0.45,1.2315,1.0000,1.5000,0.12403,0.10,0.15,FuuA,5045.25610,40.72572,504.52561,He3,pi+
24,11,0.150,0.00,0.25,0.51555,0.424,0.40,0.45,1.2299,1.0000,1.5000,0.17392,0.15,0.20,FuuA,4541.72220,38.59189,454.17222,He3,pi+
25,11,0.142,0.00,0.25,0.54283,0.424,0.40,0.45,1.2243,1.0000,1.5000,0.22520,0.20,0.25,FuuA,4033.29118,35.02176,403.32912,He3,pi+
26,11,0.138,0.00,0.25,0.56206,0.424,0.40,0.45,1.2202,1.0000,1.5000,0.27547,0.25,0.30,FuuA,3533.36985,36.85159,353.33699,He3,pi+
27,11,0.134,0.00,0.25,0.57541,0.424,0.40,0.45,1.2173,1.0000,1.5000,0.32380,0.30,0.35,FuuA,3062.60205,36.20107,306.26021,He3,pi+
28,11,0.132,0.00,0.25,0.58428,0.424,0.40,0.45,1.2139,1.0000,1.5000,0.37489,0.35,0.40,FuuA,2587.52315,36.59562,258.75232,He3,pi+
29,11,0.131,0.00,0.25,0.58846,0.424,0.40,0.45,1.2103,1.0000,1.5000,0.42460,0.40,0.45,FuuA,2157.41489,40.86155,215.74149,He3,pi+
30,11,0.132,0.00,0.25,0.58701,0.424,0.40,0.45,1.2071,1.0000,1.5000,0.47218,0.45,0.50,FuuA,1786.47545,42.80118,178.64755,He3,pi+
31,11,0.134,0.00,0.25,0.57817,0.424,0.40,0.45,1.2033,1.0000,1.5000,0.52348,0.50,0.55,FuuA,1438.99961,43.07140,143.89996,He3,pi+
32,11,0.128,0.00,0.25,0.59941,0.425,0.40,0.45,1.2127,1.0000,1.5000,0.64720,0.55,1.60,FuuA,788.34699,27.74182,78.83470,He3,pi+
33,11,0.166,0.00,0.25,0.45863,0.474,0.45,0.50,1.2290,1.0000,1.5000,0.06512,0.00,0.10,FuuA,3884.76872,50.20072,388.47687,He3,pi+
