i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.161,0.00,0.25,0.47800,0.327,0.30,0.35,1.2364,1.0000,1.5000,0.06487,0.00,0.10,FuuA,3308.57540,91.42506,496.28631,He3,K+
1,11,0.145,0.00,0.25,0.53019,0.327,0.30,0.35,1.2320,1.0000,1.5000,0.12591,0.10,0.15,FuuA,2899.26712,90.15894,434.89007,He3,K+
2,11,0.136,0.00,0.25,0.56518,0.327,0.30,0.35,1.2248,1.0000,1.5000,0.17483,0.15,0.20,FuuA,2569.52791,79.90965,385.42919,He3,K+
3,11,0.131,0.00,0.25,0.58879,0.327,0.30,0.35,1.2187,1.0000,1.5000,0.22494,0.20,0.25,FuuA,2243.70916,74.11506,336.55637,He3,K+
4,11,0.127,0.00,0.25,0.60330,0.327,0.30,0.35,1.2135,1.0000,1.5000,0.27548,0.25,0.30,FuuA,1923.15600,74.49706,288.47340,He3,K+
5,11,0.126,0.00,0.25,0.60882,0.327,0.30,0.35,1.2083,1.0000,1.5000,0.32521,0.30,0.35,FuuA,1622.18264,76.43105,243.32740,He3,K+
6,11,0.128,0.00,0.25,0.60269,0.327,0.30,0.35,1.2034,1.0000,1.5000,0.37473,0.35,0.40,FuuA,1347.70842,79.44508,202.15626,He3,K+
7,11,0.128,0.00,0.25,0.59914,0.327,0.30,0.35,1.2046,1.0000,1.5000,0.42513,0.40,0.45,FuuA,1080.88020,79.88043,162.13203,He3,K+
8,11,0.124,0.00,0.25,0.61437,0.328,0.30,0.35,1.2119,1.0000,1.5000,0.47534,0.45,0.50,FuuA,827.96801,90.23083,124.19520,He3,K+
9,11,0.119,0.00,0.25,0.63610,0.329,0.30,0.35,1.2163,1.0000,1.5000,0.52492,0.50,0.55,FuuA,616.72489,109.08954,92.50873,He3,K+
10,11,0.111,0.00,0.25,0.67653,0.332,0.30,0.35,1.2154,1.0000,1.5000,0.60061,0.55,1.60,FuuA,382.15226,113.77137,57.32284,He3,K+
11,11,0.163,0.00,0.25,0.46970,0.375,0.35,0.40,1.2334,1.0000,1.5000,0.06393,0.00,0.10,FuuA,2626.21161,90.50594,393.93174,He3,K+
12,11,0.151,0.00,0.25,0.51098,0.375,0.35,0.40,1.2332,1.0000,1.5000,0.12517,0.10,0.15,FuuA,2334.52587,85.87425,350.17888,He3,K+
13,11,0.141,0.00,0.25,0.54697,0.375,0.35,0.40,1.2264,1.0000,1.5000,0.17611,0.15,0.20,FuuA,2076.49228,77.63063,311.47384,He3,K+
14,11,0.135,0.00,0.25,0.57154,0.375,0.35,0.40,1.2211,1.0000,1.5000,0.22498,0.20,0.25,FuuA,1832.77837,75.70677,274.91676,He3,K+
15,11,0.131,0.00,0.25,0.58816,0.375,0.35,0.40,1.2166,1.0000,1.5000,0.27422,0.25,0.30,FuuA,1593.45756,71.46283,239.01863,He3,K+
16,11,0.128,0.00,0.25,0.59928,0.375,0.35,0.40,1.2125,1.0000,1.5000,0.32456,0.30,0.35,FuuA,1354.59540,73.52163,203.18931,He3,K+
17,11,0.127,0.00,0.25,0.60351,0.375,0.35,0.40,1.2081,1.0000,1.5000,0.37405,0.35,0.40,FuuA,1135.81211,76.52579,170.37182,He3,K+
18,11,0.128,0.00,0.25,0.59965,0.375,0.35,0.40,1.2035,1.0000,1.5000,0.42392,0.40,0.45,FuuA,937.36316,79.21596,140.60447,He3,K+
19,11,0.129,0.00,0.25,0.59578,0.375,0.35,0.40,1.2023,1.0000,1.5000,0.47410,0.45,0.50,FuuA,753.49065,83.85411,113.02360,He3,K+
20,11,0.126,0.00,0.25,0.60449,0.375,0.35,0.40,1.2080,1.0000,1.5000,0.52489,0.50,0.55,FuuA,576.99994,87.78921,86.54999,He3,K+
21,11,0.118,0.00,0.25,0.64207,0.378,0.35,0.40,1.2153,1.0000,1.5000,0.62359,0.55,1.60,FuuA,328.98537,71.05595,49.34781,He3,K+
22,11,0.164,0.00,0.25,0.46559,0.425,0.40,0.45,1.2314,1.0000,1.5000,0.06352,0.00,0.10,FuuA,2126.56811,95.92266,318.98522,He3,K+
23,11,0.155,0.00,0.25,0.49542,0.425,0.40,0.45,1.2325,1.0000,1.5000,0.12409,0.10,0.15,FuuA,1928.87440,89.05443,289.33116,He3,K+
24,11,0.146,0.00,0.25,0.52832,0.425,0.40,0.45,1.2286,1.0000,1.5000,0.17408,0.15,0.20,FuuA,1731.99955,83.26686,259.79993,He3,K+
25,11,0.139,0.00,0.25,0.55558,0.425,0.40,0.45,1.2230,1.0000,1.5000,0.22536,0.20,0.25,FuuA,1533.46058,74.26282,230.01909,He3,K+
26,11,0.134,0.00,0.25,0.57483,0.425,0.40,0.45,1.2187,1.0000,1.5000,0.27555,0.25,0.30,FuuA,1342.68395,77.32846,201.40259,He3,K+
27,11,0.131,0.00,0.25,0.58789,0.425,0.40,0.45,1.2150,1.0000,1.5000,0.32385,0.30,0.35,FuuA,1164.24094,75.13015,174.63614,He3,K+
28,11,0.129,0.00,0.25,0.59660,0.425,0.40,0.45,1.2114,1.0000,1.5000,0.37493,0.35,0.40,FuuA,984.38109,75.34269,147.65716,He3,K+
29,11,0.128,0.00,0.25,0.60165,0.425,0.40,0.45,1.2080,1.0000,1.5000,0.42461,0.40,0.45,FuuA,821.51673,83.83240,123.22751,He3,K+
30,11,0.127,0.00,0.25,0.60357,0.425,0.40,0.45,1.2038,1.0000,1.5000,0.47220,0.45,0.50,FuuA,680.74529,87.62957,102.11179,He3,K+
31,11,0.127,0.00,0.25,0.60065,0.425,0.40,0.45,1.2009,1.0000,1.5000,0.52344,0.50,0.55,FuuA,546.37208,88.47070,81.95581,He3,K+
32,11,0.121,0.00,0.25,0.62482,0.426,0.40,0.45,1.2095,1.0000,1.5000,0.64886,0.55,1.60,FuuA,295.56223,56.57210,44.33434,He3,K+
33,11,0.164,0.00,0.25,0.46349,0.475,0.45,0.50,1.2300,1.0000,1.5000,0.06520,0.00,0.10,FuuA,1743.07298,98.75670,261.46095,He3,K+
34,11,0.158,0.00,0.25,0.48581,0.475,0.45,0.50,1.2314,1.0000,1.5000,0.12423,0.10,0.15,FuuA,1607.52152,97.12995,241.12823,He3,K+
35,11,0.150,0.00,0.25,0.51348,0.475,0.45,0.50,1.2306,1.0000,1.5000,0.17332,0.15,0.20,FuuA,1457.81181,84.70112,218.67177,He3,K+
36,11,0.142,0.00,0.25,0.54150,0.475,0.45,0.50,1.2254,1.0000,1.5000,0.22594,0.20,0.25,FuuA,1298.75786,77.44775,194.81368,He3,K+
37,11,0.137,0.00,0.25,0.56237,0.475,0.45,0.50,1.2209,1.0000,1.5000,0.27568,0.25,0.30,FuuA,1149.51640,81.32972,172.42746,He3,K+
38,11,0.134,0.00,0.25,0.57647,0.475,0.45,0.50,1.2172,1.0000,1.5000,0.32412,0.30,0.35,FuuA,1009.29936,76.40555,151.39490,He3,K+
39,11,0.131,0.00,0.25,0.58877,0.475,0.45,0.50,1.2146,1.0000,1.5000,0.37337,0.35,0.40,FuuA,869.39251,81.27946,130.40888,He3,K+
40,11,0.128,0.00,0.25,0.59902,0.475,0.45,0.50,1.2113,1.0000,1.5000,0.42234,0.40,0.45,FuuA,738.36432,81.68646,110.75465,He3,K+
41,11,0.126,0.00,0.25,0.60686,0.475,0.45,0.50,1.2073,1.0000,1.5000,0.47322,0.45,0.50,FuuA,613.23239,86.41678,91.98486,He3,K+
42,11,0.124,0.00,0.25,0.61117,0.475,0.45,0.50,1.2034,1.0000,1.5000,0.52401,0.50,0.55,FuuA,501.11198,93.55483,75.16680,He3,K+
43,11,0.120,0.00,0.25,0.62562,0.476,0.45,0.50,1.2042,1.0000,1.5000,0.67640,0.55,1.60,FuuA,262.36290,50.96926,39.35444,He3,K+
44,11,0.165,0.00,0.25,0.46050,0.524,0.50,0.55,1.2292,1.0000,1.5000,0.06260,0.00,0.10,FuuA,1446.27839,109.36329,216.94176,He3,K+
45,11,0.160,0.00,0.25,0.47890,0.525,0.50,0.55,1.2304,1.0000,1.5000,0.12361,0.10,0.15,FuuA,1347.00451,96.23724,202.05068,He3,K+
46,11,0.153,0.00,0.25,0.50278,0.525,0.50,0.55,1.2304,1.0000,1.5000,0.17555,0.15,0.20,FuuA,1229.08710,88.47624,184.36307,He3,K+
47,11,0.146,0.00,0.25,0.52889,0.524,0.50,0.55,1.2271,1.0000,1.5000,0.22421,0.20,0.25,FuuA,1111.11904,87.52306,166.66786,He3,K+
48,11,0.140,0.00,0.25,0.55088,0.524,0.50,0.55,1.2223,1.0000,1.5000,0.27271,0.25,0.30,FuuA,996.72102,81.56388,149.50815,He3,K+
49,11,0.135,0.00,0.25,0.56942,0.525,0.50,0.55,1.2185,1.0000,1.5000,0.32291,0.30,0.35,FuuA,879.57591,81.05280,131.93639,He3,K+
50,11,0.131,0.00,0.25,0.58521,0.525,0.50,0.55,1.2158,1.0000,1.5000,0.37386,0.35,0.40,FuuA,763.27019,80.78692,114.49053,He3,K+
51,11,0.128,0.00,0.25,0.59827,0.525,0.50,0.55,1.2129,1.0000,1.5000,0.42414,0.40,0.45,FuuA,654.24013,85.90259,98.13602,He3,K+
52,11,0.125,0.00,0.25,0.60865,0.525,0.50,0.55,1.2099,1.0000,1.5000,0.47535,0.45,0.50,FuuA,550.83948,86.12680,82.62592,He3,K+
53,11,0.123,0.00,0.25,0.61614,0.525,0.50,0.55,1.2062,1.0000,1.5000,0.52328,0.50,0.55,FuuA,462.74670,104.58498,69.41201,He3,K+
54,11,0.118,0.00,0.25,0.63513,0.525,0.50,0.55,1.2012,1.0000,1.5000,0.69581,0.55,1.60,FuuA,241.14479,48.25097,36.17172,He3,K+
55,11,0.165,0.00,0.25,0.46308,0.574,0.55,0.60,1.2418,1.0000,1.5000,0.06379,0.00,0.10,FuuA,1185.19829,118.84629,177.77974,He3,K+
56,11,0.160,0.00,0.25,0.48081,0.574,0.55,0.60,1.2436,1.0000,1.5000,0.12648,0.10,0.15,FuuA,1109.31699,103.48236,166.39755,He3,K+
57,11,0.154,0.00,0.25,0.50243,0.574,0.55,0.60,1.2424,1.0000,1.5000,0.17626,0.15,0.20,FuuA,1025.23810,103.66565,153.78571,He3,K+
58,11,0.147,0.00,0.25,0.52686,0.574,0.55,0.60,1.2413,1.0000,1.5000,0.22443,0.20,0.25,FuuA,933.31464,92.49641,139.99720,He3,K+
59,11,0.141,0.00,0.25,0.54998,0.574,0.55,0.60,1.2373,1.0000,1.5000,0.27511,0.25,0.30,FuuA,838.36912,90.61289,125.75537,He3,K+
60,11,0.136,0.00,0.25,0.56880,0.574,0.55,0.60,1.2336,1.0000,1.5000,0.32349,0.30,0.35,FuuA,748.60142,92.04233,112.29021,He3,K+
61,11,0.132,0.00,0.25,0.58427,0.574,0.55,0.60,1.2306,1.0000,1.5000,0.37146,0.35,0.40,FuuA,662.22410,90.35172,99.33362,He3,K+
62,11,0.128,0.00,0.25,0.59782,0.574,0.55,0.60,1.2274,1.0000,1.5000,0.42151,0.40,0.45,FuuA,575.73798,90.56640,86.36070,He3,K+
63,11,0.125,0.00,0.25,0.61084,0.574,0.55,0.60,1.2246,1.0000,1.5000,0.47614,0.45,0.50,FuuA,486.24580,89.01438,72.93687,He3,K+
64,11,0.123,0.00,0.25,0.62042,0.574,0.55,0.60,1.2215,1.0000,1.5000,0.52461,0.50,0.55,FuuA,412.96855,116.37228,61.94528,He3,K+
65,11,0.116,0.00,0.25,0.64679,0.574,0.55,0.60,1.2123,1.0000,1.5000,0.70942,0.55,1.60,FuuA,217.96747,49.75713,32.69512,He3,K+
66,11,0.200,0.00,0.25,0.52395,0.327,0.30,0.35,1.7034,1.5000,2.0000,0.06423,0.00,0.10,FuuA,1599.79026,128.84836,239.96854,He3,K+
67,11,0.190,0.00,0.25,0.54974,0.327,0.30,0.35,1.6978,1.5000,2.0000,0.12475,0.10,0.15,FuuA,1479.70561,135.17373,221.95584,He3,K+
68,11,0.185,0.00,0.25,0.56577,0.327,0.30,0.35,1.6920,1.5000,2.0000,0.17528,0.15,0.20,FuuA,1350.98409,124.30620,202.64761,He3,K+
69,11,0.182,0.00,0.25,0.57360,0.327,0.30,0.35,1.6863,1.5000,2.0000,0.22582,0.20,0.25,FuuA,1207.68249,131.93563,181.15237,He3,K+
70,11,0.181,0.00,0.25,0.57458,0.327,0.30,0.35,1.6825,1.5000,2.0000,0.27348,0.25,0.30,FuuA,1062.45309,141.54154,159.36796,He3,K+
71,11,0.183,0.00,0.25,0.57079,0.327,0.30,0.35,1.6832,1.5000,2.0000,0.32363,0.30,0.35,FuuA,900.74675,141.44845,135.11201,He3,K+
72,11,0.184,0.00,0.25,0.56572,0.327,0.30,0.35,1.6836,1.5000,2.0000,0.37665,0.35,0.40,FuuA,734.18985,152.48616,110.12848,He3,K+
73,11,0.186,0.00,0.25,0.56040,0.327,0.30,0.35,1.6813,1.5000,2.0000,0.42650,0.40,0.45,FuuA,590.05949,163.97123,88.50892,He3,K+
74,11,0.186,0.00,0.25,0.56148,0.327,0.30,0.35,1.6850,1.5000,2.0000,0.47417,0.45,0.50,FuuA,462.40002,163.04368,69.36000,He3,K+
75,11,0.183,0.00,0.25,0.57242,0.329,0.30,0.35,1.6942,1.5000,2.0000,0.52494,0.50,0.55,FuuA,344.54714,172.94228,51.68207,He3,K+
76,11,0.174,0.00,0.25,0.60001,0.332,0.30,0.35,1.7016,1.5000,2.0000,0.60095,0.55,1.60,FuuA,214.27430,189.41706,32.14115,He3,K+
77,11,0.201,0.00,0.25,0.52196,0.375,0.35,0.40,1.7086,1.5000,2.0000,0.06673,0.00,0.10,FuuA,1378.79551,119.77395,206.81933,He3,K+
78,11,0.194,0.00,0.25,0.54065,0.375,0.35,0.40,1.7039,1.5000,2.0000,0.12572,0.10,0.15,FuuA,1285.13900,131.94605,192.77085,He3,K+
79,11,0.188,0.00,0.25,0.55670,0.375,0.35,0.40,1.6999,1.5000,2.0000,0.17315,0.15,0.20,FuuA,1183.84538,119.05546,177.57681,He3,K+
80,11,0.184,0.00,0.25,0.56721,0.375,0.35,0.40,1.6944,1.5000,2.0000,0.22441,0.20,0.25,FuuA,1063.29368,116.36886,159.49405,He3,K+
81,11,0.183,0.00,0.25,0.57206,0.375,0.35,0.40,1.6895,1.5000,2.0000,0.27442,0.25,0.30,FuuA,937.69940,127.22781,140.65491,He3,K+
82,11,0.183,0.00,0.25,0.57121,0.375,0.35,0.40,1.6872,1.5000,2.0000,0.32519,0.30,0.35,FuuA,806.61116,127.16305,120.99167,He3,K+
83,11,0.184,0.00,0.25,0.56744,0.375,0.35,0.40,1.6887,1.5000,2.0000,0.37895,0.35,0.40,FuuA,668.51060,139.00450,100.27659,He3,K+
84,11,0.185,0.00,0.25,0.56376,0.375,0.35,0.40,1.6887,1.5000,2.0000,0.42787,0.40,0.45,FuuA,550.44752,162.23759,82.56713,He3,K+
85,11,0.187,0.00,0.25,0.56011,0.374,0.35,0.40,1.6872,1.5000,2.0000,0.47563,0.45,0.50,FuuA,446.12926,157.32722,66.91939,He3,K+
86,11,0.187,0.00,0.25,0.55919,0.374,0.35,0.40,1.6886,1.5000,2.0000,0.52826,0.50,0.55,FuuA,342.64850,157.15517,51.39728,He3,K+
