i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.41153,0.323,0.30,0.35,1.8129,1.5000,2.0000,0.07000,0.00,0.10,FuuA,3853.06210,122.27160,385.30621,He3,pi-
1,11,0.269,0.25,0.50,0.40733,0.324,0.30,0.35,1.8070,1.5000,2.0000,0.13489,0.10,0.15,FuuA,3567.84694,123.82920,356.78469,He3,pi-
2,11,0.269,0.25,0.50,0.40797,0.324,0.30,0.35,1.8079,1.5000,2.0000,0.20176,0.20,0.25,FuuA,3139.89554,122.66100,313.98955,He3,pi-
3,11,0.269,0.25,0.50,0.40807,0.324,0.30,0.35,1.8078,1.5000,2.0000,0.28595,0.25,0.30,FuuA,2493.83860,122.27160,249.38386,He3,pi-
4,11,0.268,0.25,0.50,0.40751,0.324,0.30,0.35,1.8042,1.5000,2.0000,0.38764,0.35,0.40,FuuA,1709.29542,124.21860,170.92954,He3,pi-
5,11,0.269,0.25,0.50,0.40916,0.325,0.30,0.35,1.8129,1.5000,2.0000,0.50043,0.50,0.55,FuuA,952.26910,126.94440,95.22691,He3,pi-
6,11,0.266,0.25,0.50,0.42946,0.336,0.30,0.35,1.8856,1.5000,2.0000,0.60184,0.55,1.60,FuuA,439.34806,485.58180,43.93481,He3,pi-
7,11,0.267,0.25,0.50,0.41155,0.373,0.35,0.40,1.8128,1.5000,2.0000,0.08743,0.00,0.10,FuuA,2461.50306,123.43980,246.15031,He3,pi-
8,11,0.269,0.25,0.50,0.40728,0.374,0.35,0.40,1.8073,1.5000,2.0000,0.17156,0.15,0.20,FuuA,2205.86904,123.43980,220.58690,He3,pi-
9,11,0.269,0.25,0.50,0.40790,0.374,0.35,0.40,1.8078,1.5000,2.0000,0.26521,0.25,0.30,FuuA,1796.05444,123.82920,179.60544,He3,pi-
10,11,0.268,0.25,0.50,0.40769,0.374,0.35,0.40,1.8055,1.5000,2.0000,0.39237,0.35,0.40,FuuA,1183.08807,123.05040,118.30881,He3,pi-
11,11,0.267,0.25,0.50,0.41115,0.374,0.35,0.40,1.8142,1.5000,2.0000,0.55128,0.55,1.60,FuuA,548.57679,134.73240,54.85768,He3,pi-
12,11,0.267,0.25,0.50,0.41101,0.423,0.40,0.45,1.8110,1.5000,2.0000,0.10668,0.10,0.15,FuuA,1612.82105,125.77620,161.28211,He3,pi-
13,11,0.269,0.25,0.50,0.40683,0.424,0.40,0.45,1.8053,1.5000,2.0000,0.21464,0.20,0.25,FuuA,1382.35502,124.21860,138.23550,He3,pi-
14,11,0.269,0.25,0.50,0.40749,0.424,0.40,0.45,1.8052,1.5000,2.0000,0.35611,0.35,0.40,FuuA,963.07682,122.27160,96.30768,He3,pi-
15,11,0.267,0.25,0.50,0.41348,0.423,0.40,0.45,1.8180,1.5000,2.0000,0.54604,0.50,0.55,FuuA,440.40997,148.36140,44.04100,He3,pi-
16,11,0.267,0.25,0.50,0.41011,0.473,0.45,0.50,1.8094,1.5000,2.0000,0.13678,0.10,0.15,FuuA,1055.32696,121.88220,105.53270,He3,pi-
17,11,0.269,0.25,0.50,0.40702,0.474,0.45,0.50,1.8054,1.5000,2.0000,0.29380,0.25,0.30,FuuA,805.02648,123.05040,80.50265,He3,pi-
18,11,0.267,0.25,0.50,0.41389,0.473,0.45,0.50,1.8200,1.5000,2.0000,0.49348,0.45,0.50,FuuA,422.68115,152.64480,42.26811,He3,pi-
19,11,0.268,0.25,0.50,0.40948,0.524,0.50,0.55,1.8085,1.5000,2.0000,0.16693,0.15,0.20,FuuA,696.42137,123.82920,69.64214,He3,pi-
20,11,0.267,0.25,0.50,0.41243,0.523,0.50,0.55,1.8187,1.5000,2.0000,0.38745,0.35,0.40,FuuA,444.80462,130.44900,44.48046,He3,pi-
21,11,0.267,0.25,0.50,0.41089,0.573,0.55,0.60,1.8121,1.5000,2.0000,0.21197,0.20,0.25,FuuA,454.15829,123.05040,45.41583,He3,pi-
22,11,0.262,0.25,0.50,0.43196,0.570,0.55,0.60,1.8681,1.5000,2.0000,0.44163,0.40,0.45,FuuA,264.35939,295.16520,26.43594,He3,pi-
23,11,0.285,0.25,0.50,0.47836,0.323,0.30,0.35,2.2414,2.0000,2.5000,0.06808,0.00,0.10,FuuA,2247.03904,90.74663,224.70390,He3,pi-
24,11,0.291,0.25,0.50,0.46980,0.324,0.30,0.35,2.2408,2.0000,2.5000,0.12824,0.10,0.15,FuuA,2087.67734,111.36551,208.76773,He3,pi-
25,11,0.291,0.25,0.50,0.46929,0.324,0.30,0.35,2.2419,2.0000,2.5000,0.17454,0.15,0.20,FuuA,1920.59172,112.06232,192.05917,He3,pi-
26,11,0.290,0.25,0.50,0.47083,0.324,0.30,0.35,2.2412,2.0000,2.5000,0.22888,0.20,0.25,FuuA,1703.23752,111.63274,170.32375,He3,pi-
27,11,0.290,0.25,0.50,0.47120,0.324,0.30,0.35,2.2407,2.0000,2.5000,0.27538,0.25,0.30,FuuA,1493.36486,157.70700,149.33649,He3,pi-
28,11,0.290,0.25,0.50,0.47113,0.324,0.30,0.35,2.2405,2.0000,2.5000,0.32934,0.30,0.35,FuuA,1245.32068,110.50852,124.53207,He3,pi-
29,11,0.290,0.25,0.50,0.47083,0.324,0.30,0.35,2.2396,2.0000,2.5000,0.39102,0.35,0.40,FuuA,970.36698,157.31760,97.03670,He3,pi-
30,11,0.290,0.25,0.50,0.47048,0.324,0.30,0.35,2.2380,2.0000,2.5000,0.43838,0.40,0.45,FuuA,780.42570,156.14940,78.04257,He3,pi-
31,11,0.290,0.25,0.50,0.46893,0.323,0.30,0.35,2.2341,2.0000,2.5000,0.48851,0.45,0.50,FuuA,605.95387,158.87520,60.59539,He3,pi-
32,11,0.290,0.25,0.50,0.47028,0.324,0.30,0.35,2.2394,2.0000,2.5000,0.53869,0.50,0.55,FuuA,446.40307,160.43280,44.64031,He3,pi-
33,11,0.285,0.25,0.50,0.48314,0.329,0.30,0.35,2.2636,2.0000,2.5000,0.60660,0.55,1.60,FuuA,275.68399,177.17700,27.56840,He3,pi-
34,11,0.284,0.25,0.50,0.47977,0.373,0.35,0.40,2.2407,2.0000,2.5000,0.06796,0.00,0.10,FuuA,1451.01649,112.46702,145.10165,He3,pi-
35,11,0.289,0.25,0.50,0.47192,0.374,0.35,0.40,2.2404,2.0000,2.5000,0.13436,0.10,0.15,FuuA,1347.20577,112.20178,134.72058,He3,pi-
36,11,0.292,0.25,0.50,0.46785,0.374,0.35,0.40,2.2413,2.0000,2.5000,0.17847,0.15,0.20,FuuA,1247.94155,157.31760,124.79415,He3,pi-
37,11,0.291,0.25,0.50,0.46937,0.374,0.35,0.40,2.2414,2.0000,2.5000,0.22928,0.20,0.25,FuuA,1125.18395,112.33768,112.51839,He3,pi-
38,11,0.290,0.25,0.50,0.47080,0.374,0.35,0.40,2.2403,2.0000,2.5000,0.28793,0.25,0.30,FuuA,969.20386,158.87520,96.92039,He3,pi-
39,11,0.290,0.25,0.50,0.47050,0.374,0.35,0.40,2.2404,2.0000,2.5000,0.33360,0.30,0.35,FuuA,839.50618,158.48580,83.95062,He3,pi-
40,11,0.290,0.25,0.50,0.47075,0.374,0.35,0.40,2.2392,2.0000,2.5000,0.38533,0.35,0.40,FuuA,697.59498,160.04340,69.75950,He3,pi-
41,11,0.290,0.25,0.50,0.47034,0.374,0.35,0.40,2.2375,2.0000,2.5000,0.44538,0.40,0.45,FuuA,543.95682,158.09640,54.39568,He3,pi-
42,11,0.290,0.25,0.50,0.46940,0.374,0.35,0.40,2.2354,2.0000,2.5000,0.51683,0.50,0.55,FuuA,386.28412,162.37980,38.62841,He3,pi-
43,11,0.284,0.25,0.50,0.48031,0.375,0.35,0.40,2.2442,2.0000,2.5000,0.62632,0.55,1.60,FuuA,210.15748,136.83131,21.01575,He3,pi-
44,11,0.283,0.25,0.50,0.48221,0.423,0.40,0.45,2.2400,2.0000,2.5000,0.05901,0.00,0.10,FuuA,964.73632,158.87520,96.47363,He3,pi-
45,11,0.286,0.25,0.50,0.47663,0.423,0.40,0.45,2.2409,2.0000,2.5000,0.11208,0.10,0.15,FuuA,919.90716,159.65400,91.99072,He3,pi-
46,11,0.290,0.25,0.50,0.46997,0.424,0.40,0.45,2.2397,2.0000,2.5000,0.17183,0.15,0.20,FuuA,846.99519,112.19164,84.69952,He3,pi-
47,11,0.292,0.25,0.50,0.46805,0.424,0.40,0.45,2.2416,2.0000,2.5000,0.23401,0.20,0.25,FuuA,752.30628,158.87520,75.23063,He3,pi-
48,11,0.290,0.25,0.50,0.47002,0.424,0.40,0.45,2.2414,2.0000,2.5000,0.28412,0.25,0.30,FuuA,670.85457,157.70700,67.08546,He3,pi-
49,11,0.290,0.25,0.50,0.47049,0.424,0.40,0.45,2.2401,2.0000,2.5000,0.34350,0.30,0.35,FuuA,568.91599,156.92820,56.89160,He3,pi-
50,11,0.290,0.25,0.50,0.47067,0.424,0.40,0.45,2.2394,2.0000,2.5000,0.41331,0.40,0.45,FuuA,449.28250,159.65400,44.92825,He3,pi-
51,11,0.290,0.25,0.50,0.47055,0.424,0.40,0.45,2.2383,2.0000,2.5000,0.49945,0.45,0.50,FuuA,316.00109,160.43280,31.60011,He3,pi-
52,11,0.280,0.25,0.50,0.48614,0.424,0.40,0.45,2.2419,2.0000,2.5000,0.64360,0.55,1.60,FuuA,156.03311,149.15260,15.60331,He3,pi-
53,11,0.283,0.25,0.50,0.48173,0.473,0.45,0.50,2.2399,2.0000,2.5000,0.07275,0.00,0.10,FuuA,634.85011,159.26460,63.48501,He3,pi-
54,11,0.287,0.25,0.50,0.47523,0.474,0.45,0.50,2.2400,2.0000,2.5000,0.14079,0.10,0.15,FuuA,594.76953,157.31760,59.47695,He3,pi-
