i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.41585,0.315,0.30,0.35,1.8343,1.5000,2.0000,0.06857,0.00,0.10,FuuA,1261.07456,642.12060,189.16118,He3,K-
1,11,0.269,0.25,0.50,0.41336,0.316,0.30,0.35,1.8353,1.5000,2.0000,0.13465,0.10,0.15,FuuA,1178.37134,730.90380,176.75570,He3,K-
2,11,0.269,0.25,0.50,0.41378,0.316,0.30,0.35,1.8344,1.5000,2.0000,0.20213,0.20,0.25,FuuA,1033.35157,701.30940,155.00274,He3,K-
3,11,0.269,0.25,0.50,0.41363,0.316,0.30,0.35,1.8323,1.5000,2.0000,0.28654,0.25,0.30,FuuA,816.71722,672.88320,122.50758,He3,K-
4,11,0.268,0.25,0.50,0.41327,0.315,0.30,0.35,1.8291,1.5000,2.0000,0.38919,0.35,0.40,FuuA,546.91517,633.16440,82.03728,He3,K-
5,11,0.264,0.25,0.50,0.43126,0.318,0.30,0.35,1.8794,1.5000,2.0000,0.48361,0.45,0.50,FuuA,322.53038,933.78120,48.37956,He3,K-
6,11,0.257,0.25,0.50,0.45802,0.338,0.30,0.35,1.9419,1.5000,2.0000,0.59738,0.55,1.60,FuuA,174.05467,9578.46120,26.10820,He3,K-
7,11,0.266,0.25,0.50,0.41289,0.374,0.35,0.40,1.8131,1.5000,2.0000,0.08655,0.00,0.10,FuuA,1293.28252,954.03000,193.99238,He3,K-
8,11,0.268,0.25,0.50,0.40956,0.376,0.35,0.40,1.8098,1.5000,2.0000,0.17124,0.15,0.20,FuuA,1158.83081,1011.27180,173.82462,He3,K-
9,11,0.267,0.25,0.50,0.41026,0.375,0.35,0.40,1.8100,1.5000,2.0000,0.26567,0.25,0.30,FuuA,942.37399,991.02300,141.35610,He3,K-
10,11,0.267,0.25,0.50,0.41120,0.375,0.35,0.40,1.8107,1.5000,2.0000,0.39098,0.35,0.40,FuuA,623.62196,967.65900,93.54329,He3,K-
11,11,0.261,0.25,0.50,0.43327,0.375,0.35,0.40,1.8686,1.5000,2.0000,0.52929,0.50,0.55,FuuA,302.69363,1533.06780,45.40404,He3,K-
12,11,0.266,0.25,0.50,0.41236,0.425,0.40,0.45,1.8113,1.5000,2.0000,0.10574,0.10,0.15,FuuA,1013.15888,834.48420,151.97383,He3,K-
13,11,0.268,0.25,0.50,0.40887,0.426,0.40,0.45,1.8070,1.5000,2.0000,0.21491,0.20,0.25,FuuA,869.11989,860.18460,130.36798,He3,K-
14,11,0.267,0.25,0.50,0.41067,0.425,0.40,0.45,1.8098,1.5000,2.0000,0.35438,0.35,0.40,FuuA,607.35714,828.64320,91.10357,He3,K-
15,11,0.261,0.25,0.50,0.43368,0.424,0.40,0.45,1.8708,1.5000,2.0000,0.51737,0.50,0.55,FuuA,294.89454,1472.32140,44.23418,He3,K-
16,11,0.267,0.25,0.50,0.41166,0.475,0.45,0.50,1.8112,1.5000,2.0000,0.13547,0.10,0.15,FuuA,802.94599,693.52140,120.44190,He3,K-
17,11,0.268,0.25,0.50,0.40997,0.475,0.45,0.50,1.8095,1.5000,2.0000,0.29280,0.25,0.30,FuuA,614.60426,723.50520,92.19064,He3,K-
18,11,0.262,0.25,0.50,0.43091,0.474,0.45,0.50,1.8641,1.5000,2.0000,0.46664,0.45,0.50,FuuA,336.09531,1218.04320,50.41430,He3,K-
19,11,0.267,0.25,0.50,0.41118,0.525,0.50,0.55,1.8081,1.5000,2.0000,0.16301,0.15,0.20,FuuA,646.84799,569.69220,97.02720,He3,K-
20,11,0.263,0.25,0.50,0.42512,0.524,0.50,0.55,1.8481,1.5000,2.0000,0.35866,0.35,0.40,FuuA,426.59296,782.69400,63.98894,He3,K-
