i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.33483,0.340,0.30,0.40,1.8446,1.5000,2.0000,0.07268,0.00,0.10,FuuA,6600.08513,70.72054,660.00851,He3,pi+
1,11,0.270,0.25,0.50,0.33035,0.345,0.30,0.40,1.8398,1.5000,2.0000,0.14883,0.10,0.20,FuuA,5819.97874,46.33056,581.99787,He3,pi+
2,11,0.271,0.25,0.50,0.33000,0.350,0.30,0.40,1.8403,1.5000,2.0000,0.24024,0.20,0.30,FuuA,4641.36654,50.71129,464.13665,He3,pi+
3,11,0.270,0.25,0.50,0.33024,0.345,0.30,0.40,1.8395,1.5000,2.0000,0.34700,0.30,0.40,FuuA,3446.07181,54.66805,344.60718,He3,pi+
4,11,0.270,0.25,0.50,0.33075,0.348,0.30,0.40,1.8403,1.5000,2.0000,0.50103,0.40,0.60,FuuA,1719.87672,48.54543,171.98767,He3,pi+
5,11,0.263,0.25,0.50,0.34648,0.377,0.30,0.40,1.8794,1.5000,2.0000,0.65526,0.60,0.80,FuuA,559.24697,207.93960,55.92470,He3,pi+
6,11,0.267,0.25,0.50,0.33583,0.423,0.40,0.50,1.8452,1.5000,2.0000,0.08223,0.00,0.10,FuuA,3440.92134,124.99740,344.09213,He3,pi+
7,11,0.269,0.25,0.50,0.33197,0.449,0.40,0.50,1.8405,1.5000,2.0000,0.14613,0.10,0.20,FuuA,2729.33535,60.96556,272.93354,He3,pi+
8,11,0.271,0.25,0.50,0.32947,0.449,0.40,0.50,1.8390,1.5000,2.0000,0.23705,0.20,0.30,FuuA,2361.77247,61.76565,236.17725,He3,pi+
9,11,0.271,0.25,0.50,0.32997,0.441,0.40,0.50,1.8398,1.5000,2.0000,0.32823,0.30,0.40,FuuA,1983.70700,70.21716,198.37070,He3,pi+
10,11,0.270,0.25,0.50,0.33097,0.450,0.40,0.50,1.8398,1.5000,2.0000,0.46523,0.40,0.60,FuuA,1187.29106,60.84123,118.72911,He3,pi+
11,11,0.263,0.25,0.50,0.34409,0.432,0.40,0.50,1.8666,1.5000,2.0000,0.62715,0.60,0.80,FuuA,575.66264,133.70414,57.56626,He3,pi+
12,11,0.268,0.25,0.50,0.33325,0.540,0.50,0.60,1.8418,1.5000,2.0000,0.15209,0.10,0.20,FuuA,1434.24122,71.19212,143.42412,He3,pi+
13,11,0.270,0.25,0.50,0.33045,0.549,0.50,0.60,1.8383,1.5000,2.0000,0.25059,0.20,0.30,FuuA,1192.45939,86.45776,119.24594,He3,pi+
14,11,0.269,0.25,0.50,0.33165,0.549,0.50,0.60,1.8420,1.5000,2.0000,0.33153,0.30,0.40,FuuA,1015.20260,86.58854,101.52026,He3,pi+
15,11,0.266,0.25,0.50,0.33946,0.534,0.50,0.60,1.8581,1.5000,2.0000,0.46186,0.40,0.60,FuuA,757.51610,90.80348,75.75161,He3,pi+
16,11,0.279,0.25,0.50,0.39630,0.344,0.30,0.40,2.2689,2.0000,2.5000,0.06576,0.00,0.10,FuuA,3824.08266,45.56198,382.40827,He3,pi+
17,11,0.288,0.25,0.50,0.38328,0.345,0.30,0.40,2.2594,2.0000,2.5000,0.15005,0.10,0.20,FuuA,3457.35605,30.91938,345.73561,He3,pi+
18,11,0.289,0.25,0.50,0.38185,0.348,0.30,0.40,2.2606,2.0000,2.5000,0.24722,0.20,0.30,FuuA,2732.86159,34.78027,273.28616,He3,pi+
19,11,0.288,0.25,0.50,0.38298,0.347,0.30,0.40,2.2601,2.0000,2.5000,0.34732,0.30,0.40,FuuA,2010.17475,41.01825,201.01747,He3,pi+
20,11,0.288,0.25,0.50,0.38218,0.344,0.30,0.40,2.2562,2.0000,2.5000,0.48996,0.40,0.60,FuuA,1101.70118,35.19477,110.17012,He3,pi+
21,11,0.279,0.25,0.50,0.39736,0.359,0.30,0.40,2.2787,2.0000,2.5000,0.65474,0.60,0.80,FuuA,378.28396,68.00003,37.82840,He3,pi+
22,11,0.275,0.25,0.50,0.40183,0.443,0.40,0.50,2.2726,2.0000,2.5000,0.06283,0.00,0.10,FuuA,1782.10848,71.22197,178.21085,He3,pi+
23,11,0.285,0.25,0.50,0.38709,0.444,0.40,0.50,2.2611,2.0000,2.5000,0.15148,0.10,0.20,FuuA,1645.51383,40.85220,164.55138,He3,pi+
24,11,0.289,0.25,0.50,0.38062,0.447,0.40,0.50,2.2582,2.0000,2.5000,0.25013,0.20,0.30,FuuA,1354.07741,40.78721,135.40774,He3,pi+
25,11,0.289,0.25,0.50,0.38201,0.449,0.40,0.50,2.2597,2.0000,2.5000,0.35139,0.30,0.40,FuuA,1032.25889,50.10072,103.22589,He3,pi+
26,11,0.287,0.25,0.50,0.38369,0.445,0.40,0.50,2.2591,2.0000,2.5000,0.48323,0.40,0.60,FuuA,666.79914,46.01060,66.67991,He3,pi+
27,11,0.275,0.25,0.50,0.40163,0.444,0.40,0.50,2.2719,2.0000,2.5000,0.66889,0.60,0.80,FuuA,269.59174,71.83300,26.95917,He3,pi+
