i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.33528,0.349,0.30,0.40,1.8463,1.5000,2.0000,0.07131,0.00,0.10,FuuA,1743.67376,205.80430,261.55106,He3,K+
1,11,0.270,0.25,0.50,0.33133,0.355,0.30,0.40,1.8427,1.5000,2.0000,0.14695,0.10,0.20,FuuA,1593.17986,138.42757,238.97698,He3,K+
2,11,0.270,0.25,0.50,0.33120,0.358,0.30,0.40,1.8431,1.5000,2.0000,0.24038,0.20,0.30,FuuA,1309.66158,149.88566,196.44924,He3,K+
3,11,0.270,0.25,0.50,0.33117,0.353,0.30,0.40,1.8412,1.5000,2.0000,0.34755,0.30,0.40,FuuA,948.85877,159.60126,142.32882,He3,K+
4,11,0.265,0.25,0.50,0.33932,0.356,0.30,0.40,1.8561,1.5000,2.0000,0.47693,0.40,0.60,FuuA,542.63699,166.84845,81.39555,He3,K+
5,11,0.255,0.25,0.50,0.37046,0.379,0.30,0.40,1.9490,1.5000,2.0000,0.64124,0.60,0.80,FuuA,188.21952,1514.76600,28.23293,He3,K+
6,11,0.267,0.25,0.50,0.33640,0.424,0.40,0.50,1.8485,1.5000,2.0000,0.08169,0.00,0.10,FuuA,1319.48129,277.25280,197.92219,He3,K+
7,11,0.269,0.25,0.50,0.33260,0.453,0.40,0.50,1.8429,1.5000,2.0000,0.14407,0.10,0.20,FuuA,1112.75934,128.42877,166.91390,He3,K+
8,11,0.271,0.25,0.50,0.33049,0.454,0.40,0.50,1.8426,1.5000,2.0000,0.23744,0.20,0.30,FuuA,959.77078,134.52392,143.96562,He3,K+
9,11,0.270,0.25,0.50,0.33119,0.445,0.40,0.50,1.8427,1.5000,2.0000,0.32827,0.30,0.40,FuuA,793.99690,154.19565,119.09954,He3,K+
10,11,0.265,0.25,0.50,0.33989,0.451,0.40,0.50,1.8584,1.5000,2.0000,0.44787,0.40,0.60,FuuA,517.33756,156.64962,77.60063,He3,K+
11,11,0.257,0.25,0.50,0.36416,0.430,0.40,0.50,1.9290,1.5000,2.0000,0.60553,0.60,0.80,FuuA,234.99286,642.60182,35.24893,He3,K+
12,11,0.267,0.25,0.50,0.33565,0.541,0.50,0.60,1.8472,1.5000,2.0000,0.14955,0.10,0.20,FuuA,793.22351,126.23326,118.98353,He3,K+
13,11,0.267,0.25,0.50,0.33666,0.547,0.50,0.60,1.8501,1.5000,2.0000,0.24954,0.20,0.30,FuuA,678.95561,167.32903,101.84334,He3,K+
14,11,0.264,0.25,0.50,0.34233,0.545,0.50,0.60,1.8646,1.5000,2.0000,0.32912,0.30,0.40,FuuA,574.42109,192.23926,86.16316,He3,K+
15,11,0.260,0.25,0.50,0.35257,0.531,0.50,0.60,1.8924,1.5000,2.0000,0.44034,0.40,0.60,FuuA,425.12662,253.85869,63.76899,He3,K+
16,11,0.278,0.25,0.50,0.39776,0.354,0.30,0.40,2.2712,2.0000,2.5000,0.06585,0.00,0.10,FuuA,929.81112,127.12447,139.47167,He3,K+
17,11,0.286,0.25,0.50,0.38583,0.355,0.30,0.40,2.2628,2.0000,2.5000,0.14960,0.10,0.20,FuuA,854.55110,88.89613,128.18267,He3,K+
