i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.267,0.25,0.50,0.41299,0.323,0.30,0.35,1.8157,1.5000,2.0000,0.05598,0.00,0.10,FuuA,5824.57861,123.43980,582.45786,He3,pi+
1,11,0.269,0.25,0.50,0.40764,0.324,0.30,0.35,1.8069,1.5000,2.0000,0.12409,0.10,0.15,FuuA,5461.69056,87.14712,546.16906,He3,pi+
2,11,0.269,0.25,0.50,0.40789,0.324,0.30,0.35,1.8092,1.5000,2.0000,0.18682,0.15,0.20,FuuA,4877.88680,123.82920,487.78868,He3,pi+
3,11,0.269,0.25,0.50,0.40816,0.324,0.30,0.35,1.8095,1.5000,2.0000,0.23664,0.20,0.25,FuuA,4330.94318,125.77620,433.09432,He3,pi+
4,11,0.269,0.25,0.50,0.40813,0.324,0.30,0.35,1.8083,1.5000,2.0000,0.29416,0.25,0.30,FuuA,3655.32954,122.66100,365.53295,He3,pi+
5,11,0.268,0.25,0.50,0.40773,0.324,0.30,0.35,1.8060,1.5000,2.0000,0.36262,0.35,0.40,FuuA,2849.79765,120.71400,284.97976,He3,pi+
6,11,0.268,0.25,0.50,0.40641,0.323,0.30,0.35,1.7991,1.5000,2.0000,0.43838,0.40,0.45,FuuA,2053.44381,123.82920,205.34438,He3,pi+
7,11,0.269,0.25,0.50,0.40958,0.326,0.30,0.35,1.8165,1.5000,2.0000,0.51474,0.50,0.55,FuuA,1312.17822,126.16560,131.21782,He3,pi+
8,11,0.267,0.25,0.50,0.42549,0.335,0.30,0.35,1.8745,1.5000,2.0000,0.59247,0.55,1.60,FuuA,723.17877,319.69740,72.31788,He3,pi+
9,11,0.267,0.25,0.50,0.41261,0.373,0.35,0.40,1.8145,1.5000,2.0000,0.06971,0.00,0.10,FuuA,3911.29954,123.05040,391.12995,He3,pi+
10,11,0.268,0.25,0.50,0.40797,0.374,0.35,0.40,1.8060,1.5000,2.0000,0.13167,0.10,0.15,FuuA,3710.11505,119.93520,371.01151,He3,pi+
11,11,0.269,0.25,0.50,0.40674,0.374,0.35,0.40,1.8061,1.5000,2.0000,0.18390,0.15,0.20,FuuA,3393.12664,119.15640,339.31266,He3,pi+
12,11,0.269,0.25,0.50,0.40761,0.374,0.35,0.40,1.8070,1.5000,2.0000,0.24775,0.20,0.25,FuuA,2955.09053,120.71400,295.50905,He3,pi+
13,11,0.269,0.25,0.50,0.40746,0.374,0.35,0.40,1.8054,1.5000,2.0000,0.32275,0.30,0.35,FuuA,2391.35117,123.43980,239.13512,He3,pi+
14,11,0.268,0.25,0.50,0.40748,0.374,0.35,0.40,1.8048,1.5000,2.0000,0.41266,0.40,0.45,FuuA,1714.80834,123.05040,171.48083,He3,pi+
15,11,0.268,0.25,0.50,0.40634,0.374,0.35,0.40,1.7994,1.5000,2.0000,0.52142,0.50,0.55,FuuA,1038.15187,123.82920,103.81519,He3,pi+
16,11,0.265,0.25,0.50,0.42223,0.377,0.35,0.40,1.8476,1.5000,2.0000,0.61823,0.55,1.60,FuuA,550.55489,202.48800,55.05549,He3,pi+
17,11,0.267,0.25,0.50,0.41217,0.423,0.40,0.45,1.8137,1.5000,2.0000,0.08569,0.00,0.10,FuuA,2666.83805,122.27160,266.68380,He3,pi+
18,11,0.268,0.25,0.50,0.40750,0.424,0.40,0.45,1.8046,1.5000,2.0000,0.16060,0.15,0.20,FuuA,2480.34434,123.82920,248.03443,He3,pi+
19,11,0.269,0.25,0.50,0.40678,0.424,0.40,0.45,1.8058,1.5000,2.0000,0.22424,0.20,0.25,FuuA,2209.10995,125.38680,220.91099,He3,pi+
20,11,0.269,0.25,0.50,0.40758,0.424,0.40,0.45,1.8064,1.5000,2.0000,0.30776,0.30,0.35,FuuA,1809.94798,121.49280,180.99480,He3,pi+
21,11,0.269,0.25,0.50,0.40760,0.424,0.40,0.45,1.8056,1.5000,2.0000,0.41965,0.40,0.45,FuuA,1258.06007,121.49280,125.80601,He3,pi+
