i,Ebeam,x,xl,xr,y,z,zl,zr,Q2,Q2l,Q2r,pT,pTl,pTr,obs,value,stat,syst,target,hadron
0,11,0.266,0.25,0.50,0.41346,0.327,0.30,0.35,1.8165,1.5000,2.0000,0.05576,0.00,0.10,FuuA,1438.02363,404.58660,215.70354,He3,K+
1,11,0.268,0.25,0.50,0.40906,0.328,0.30,0.35,1.8104,1.5000,2.0000,0.12279,0.10,0.15,FuuA,1365.37040,301.41875,204.80556,He3,K+
2,11,0.268,0.25,0.50,0.40934,0.328,0.30,0.35,1.8107,1.5000,2.0000,0.18706,0.15,0.20,FuuA,1223.28008,428.34000,183.49201,He3,K+
3,11,0.268,0.25,0.50,0.40951,0.328,0.30,0.35,1.8107,1.5000,2.0000,0.23694,0.20,0.25,FuuA,1086.21272,428.72940,162.93191,He3,K+
4,11,0.268,0.25,0.50,0.40925,0.328,0.30,0.35,1.8091,1.5000,2.0000,0.29434,0.25,0.30,FuuA,917.81284,407.70180,137.67193,He3,K+
5,11,0.268,0.25,0.50,0.40847,0.327,0.30,0.35,1.8051,1.5000,2.0000,0.36325,0.35,0.40,FuuA,716.16809,387.06360,107.42521,He3,K+
6,11,0.267,0.25,0.50,0.41300,0.327,0.30,0.35,1.8161,1.5000,2.0000,0.43553,0.40,0.45,FuuA,506.99357,407.70180,76.04904,He3,K+
7,11,0.263,0.25,0.50,0.43217,0.332,0.30,0.35,1.8728,1.5000,2.0000,0.50782,0.50,0.55,FuuA,320.61832,594.22440,48.09275,He3,K+
8,11,0.258,0.25,0.50,0.45431,0.340,0.30,0.35,1.9327,1.5000,2.0000,0.58769,0.55,1.60,FuuA,190.53717,2367.94140,28.58058,He3,K+
9,11,0.267,0.25,0.50,0.41351,0.374,0.35,0.40,1.8185,1.5000,2.0000,0.06937,0.00,0.10,FuuA,1301.62517,313.85640,195.24378,He3,K+
10,11,0.268,0.25,0.50,0.40909,0.375,0.35,0.40,1.8102,1.5000,2.0000,0.13117,0.10,0.15,FuuA,1234.07052,314.63520,185.11058,He3,K+
11,11,0.269,0.25,0.50,0.40888,0.376,0.35,0.40,1.8137,1.5000,2.0000,0.18426,0.15,0.20,FuuA,1125.81588,323.98080,168.87238,He3,K+
12,11,0.268,0.25,0.50,0.40948,0.375,0.35,0.40,1.8130,1.5000,2.0000,0.24804,0.20,0.25,FuuA,982.67646,318.91860,147.40147,He3,K+
13,11,0.268,0.25,0.50,0.40927,0.375,0.35,0.40,1.8123,1.5000,2.0000,0.32285,0.30,0.35,FuuA,794.16416,320.47620,119.12462,He3,K+
14,11,0.268,0.25,0.50,0.41070,0.375,0.35,0.40,1.8130,1.5000,2.0000,0.41138,0.40,0.45,FuuA,572.64689,318.13980,85.89703,He3,K+
15,11,0.263,0.25,0.50,0.42844,0.374,0.35,0.40,1.8592,1.5000,2.0000,0.51160,0.50,0.55,FuuA,336.98793,422.10960,50.54819,He3,K+
16,11,0.257,0.25,0.50,0.45426,0.377,0.35,0.40,1.9272,1.5000,2.0000,0.60824,0.55,1.60,FuuA,176.86363,1138.21620,26.52954,He3,K+
17,11,0.267,0.25,0.50,0.41305,0.425,0.40,0.45,1.8175,1.5000,2.0000,0.08516,0.00,0.10,FuuA,1023.19427,276.08460,153.47914,He3,K+
18,11,0.268,0.25,0.50,0.40873,0.425,0.40,0.45,1.8103,1.5000,2.0000,0.16005,0.15,0.20,FuuA,950.64451,286.59840,142.59668,He3,K+
19,11,0.269,0.25,0.50,0.40878,0.425,0.40,0.45,1.8124,1.5000,2.0000,0.22475,0.20,0.25,FuuA,846.37969,296.33340,126.95695,He3,K+
20,11,0.268,0.25,0.50,0.40913,0.425,0.40,0.45,1.8117,1.5000,2.0000,0.30814,0.30,0.35,FuuA,694.89129,279.97860,104.23369,He3,K+
21,11,0.267,0.25,0.50,0.41399,0.425,0.40,0.45,1.8223,1.5000,2.0000,0.41462,0.40,0.45,FuuA,485.36322,294.38640,72.80448,He3,K+
22,11,0.260,0.25,0.50,0.43914,0.424,0.40,0.45,1.8871,1.5000,2.0000,0.54528,0.50,0.55,FuuA,252.29444,501.54720,37.84417,He3,K+
23,11,0.267,0.25,0.50,0.41252,0.475,0.45,0.50,1.8159,1.5000,2.0000,0.10406,0.10,0.15,FuuA,823.05419,244.54320,123.45813,He3,K+
24,11,0.269,0.25,0.50,0.40803,0.475,0.45,0.50,1.8093,1.5000,2.0000,0.19665,0.15,0.20,FuuA,742.52243,255.44640,111.37836,He3,K+
25,11,0.269,0.25,0.50,0.40856,0.475,0.45,0.50,1.8110,1.5000,2.0000,0.28828,0.25,0.30,FuuA,620.14098,250.77360,93.02115,He3,K+
26,11,0.265,0.25,0.50,0.41946,0.474,0.45,0.50,1.8364,1.5000,2.0000,0.40780,0.40,0.45,FuuA,429.98395,293.60760,64.49759,He3,K+
27,11,0.258,0.25,0.50,0.44724,0.472,0.45,0.50,1.9074,1.5000,2.0000,0.54944,0.50,0.55,FuuA,226.03656,687.29100,33.90548,He3,K+
28,11,0.267,0.25,0.50,0.41189,0.524,0.50,0.55,1.8142,1.5000,2.0000,0.12470,0.10,0.15,FuuA,669.81143,219.62160,100.47171,He3,K+
29,11,0.268,0.25,0.50,0.41054,0.524,0.50,0.55,1.8148,1.5000,2.0000,0.24040,0.20,0.25,FuuA,576.78718,237.14460,86.51808,He3,K+
30,11,0.264,0.25,0.50,0.42528,0.523,0.50,0.55,1.8520,1.5000,2.0000,0.36648,0.35,0.40,FuuA,417.25664,293.99700,62.58850,He3,K+
31,11,0.258,0.25,0.50,0.45122,0.521,0.50,0.55,1.9192,1.5000,2.0000,0.51517,0.50,0.55,FuuA,238.17878,789.31380,35.72682,He3,K+
32,11,0.264,0.25,0.50,0.42167,0.572,0.55,0.60,1.8398,1.5000,2.0000,0.14049,0.10,0.15,FuuA,546.90535,229.74600,82.03580,He3,K+
33,11,0.262,0.25,0.50,0.43311,0.572,0.55,0.60,1.8721,1.5000,2.0000,0.30033,0.30,0.35,FuuA,417.50179,290.88180,62.62527,He3,K+
34,11,0.256,0.25,0.50,0.45964,0.567,0.55,0.60,1.9406,1.5000,2.0000,0.47561,0.45,0.50,FuuA,245.79283,1129.26000,36.86892,He3,K+
35,11,0.284,0.25,0.50,0.48009,0.327,0.30,0.35,2.2393,2.0000,2.5000,0.06285,0.00,0.10,FuuA,671.28829,262.52456,100.69324,He3,K+
36,11,0.289,0.25,0.50,0.47215,0.328,0.30,0.35,2.2404,2.0000,2.5000,0.12713,0.10,0.15,FuuA,631.52267,268.52348,94.72840,He3,K+
37,11,0.289,0.25,0.50,0.47282,0.328,0.30,0.35,2.2418,2.0000,2.5000,0.17391,0.15,0.20,FuuA,583.29644,382.31619,87.49447,He3,K+
38,11,0.288,0.25,0.50,0.47351,0.328,0.30,0.35,2.2406,2.0000,2.5000,0.21977,0.20,0.25,FuuA,527.45816,305.70929,79.11872,He3,K+
39,11,0.288,0.25,0.50,0.47363,0.328,0.30,0.35,2.2399,2.0000,2.5000,0.27066,0.25,0.30,FuuA,458.88206,376.19567,68.83231,He3,K+
40,11,0.288,0.25,0.50,0.47340,0.328,0.30,0.35,2.2389,2.0000,2.5000,0.31658,0.30,0.35,FuuA,395.06964,366.71031,59.26045,He3,K+
41,11,0.288,0.25,0.50,0.47312,0.328,0.30,0.35,2.2376,2.0000,2.5000,0.36973,0.35,0.40,FuuA,322.61599,357.65049,48.39240,He3,K+
42,11,0.287,0.25,0.50,0.47403,0.327,0.30,0.35,2.2350,2.0000,2.5000,0.43015,0.40,0.45,FuuA,245.76478,354.36919,36.86472,He3,K+
43,11,0.283,0.25,0.50,0.47962,0.327,0.30,0.35,2.2343,2.0000,2.5000,0.47949,0.45,0.50,FuuA,190.47003,510.89280,28.57050,He3,K+
44,11,0.279,0.25,0.50,0.48891,0.329,0.30,0.35,2.2458,2.0000,2.5000,0.52899,0.50,0.55,FuuA,147.26759,400.83473,22.09014,He3,K+
45,11,0.272,0.25,0.50,0.50729,0.335,0.30,0.35,2.2772,2.0000,2.5000,0.60472,0.55,1.60,FuuA,96.40714,629.86567,14.46107,He3,K+
46,11,0.284,0.25,0.50,0.48115,0.374,0.35,0.40,2.2433,2.0000,2.5000,0.06764,0.00,0.10,FuuA,749.38736,219.81122,112.40810,He3,K+
47,11,0.288,0.25,0.50,0.47473,0.375,0.35,0.40,2.2433,2.0000,2.5000,0.12422,0.10,0.15,FuuA,708.48132,275.39827,106.27220,He3,K+
48,11,0.290,0.25,0.50,0.47113,0.375,0.35,0.40,2.2454,2.0000,2.5000,0.17236,0.15,0.20,FuuA,655.30914,226.88338,98.29637,He3,K+
49,11,0.289,0.25,0.50,0.47253,0.375,0.35,0.40,2.2441,2.0000,2.5000,0.22655,0.20,0.25,FuuA,589.55977,280.06845,88.43396,He3,K+
50,11,0.289,0.25,0.50,0.47322,0.375,0.35,0.40,2.2438,2.0000,2.5000,0.27630,0.25,0.30,FuuA,520.46113,278.28845,78.06917,He3,K+
51,11,0.289,0.25,0.50,0.47332,0.375,0.35,0.40,2.2438,2.0000,2.5000,0.33375,0.30,0.35,FuuA,436.68604,274.48778,65.50291,He3,K+
52,11,0.289,0.25,0.50,0.47339,0.375,0.35,0.40,2.2428,2.0000,2.5000,0.38233,0.35,0.40,FuuA,367.14964,392.90460,55.07245,He3,K+
53,11,0.288,0.25,0.50,0.47392,0.375,0.35,0.40,2.2427,2.0000,2.5000,0.41857,0.40,0.45,FuuA,317.54844,383.94840,47.63227,He3,K+
54,11,0.285,0.25,0.50,0.47817,0.375,0.35,0.40,2.2433,2.0000,2.5000,0.45970,0.45,0.50,FuuA,265.16250,392.51520,39.77438,He3,K+
55,11,0.282,0.25,0.50,0.48267,0.374,0.35,0.40,2.2402,2.0000,2.5000,0.50601,0.50,0.55,FuuA,213.07105,402.25020,31.96066,He3,K+
56,11,0.274,0.25,0.50,0.49895,0.376,0.35,0.40,2.2536,2.0000,2.5000,0.60070,0.55,1.60,FuuA,128.11195,282.94377,19.21679,He3,K+
57,11,0.283,0.25,0.50,0.48225,0.424,0.40,0.45,2.2430,2.0000,2.5000,0.06540,0.00,0.10,FuuA,596.76907,243.66563,89.51536,He3,K+
58,11,0.287,0.25,0.50,0.47626,0.425,0.40,0.45,2.2430,2.0000,2.5000,0.12637,0.10,0.15,FuuA,565.14993,244.74619,84.77249,He3,K+
59,11,0.290,0.25,0.50,0.47070,0.425,0.40,0.45,2.2427,2.0000,2.5000,0.17616,0.15,0.20,FuuA,527.39206,243.40708,79.10881,He3,K+
60,11,0.291,0.25,0.50,0.47071,0.425,0.40,0.45,2.2449,2.0000,2.5000,0.22885,0.20,0.25,FuuA,477.36799,248.99132,71.60520,He3,K+
61,11,0.290,0.25,0.50,0.47167,0.425,0.40,0.45,2.2438,2.0000,2.5000,0.27397,0.25,0.30,FuuA,432.55926,345.78720,64.88389,He3,K+
62,11,0.289,0.25,0.50,0.47240,0.425,0.40,0.45,2.2439,2.0000,2.5000,0.32824,0.30,0.35,FuuA,373.48975,239.62715,56.02346,He3,K+
63,11,0.289,0.25,0.50,0.47326,0.425,0.40,0.45,2.2432,2.0000,2.5000,0.39089,0.35,0.40,FuuA,305.74252,338.38860,45.86138,He3,K+
64,11,0.286,0.25,0.50,0.47733,0.425,0.40,0.45,2.2426,2.0000,2.5000,0.43828,0.40,0.45,FuuA,257.10868,356.69040,38.56630,He3,K+
65,11,0.282,0.25,0.50,0.48339,0.425,0.40,0.45,2.2436,2.0000,2.5000,0.49362,0.45,0.50,FuuA,204.17585,360.58440,30.62638,He3,K+
66,11,0.272,0.25,0.50,0.50181,0.424,0.40,0.45,2.2532,2.0000,2.5000,0.61180,0.55,1.60,FuuA,116.50077,278.64108,17.47512,He3,K+
67,11,0.282,0.25,0.50,0.48384,0.474,0.45,0.50,2.2420,2.0000,2.5000,0.05534,0.00,0.10,FuuA,488.81821,306.84720,73.32273,He3,K+
68,11,0.286,0.25,0.50,0.47824,0.475,0.45,0.50,2.2438,2.0000,2.5000,0.12188,0.10,0.15,FuuA,463.42612,217.93628,69.51392,He3,K+
69,11,0.289,0.25,0.50,0.47274,0.475,0.45,0.50,2.2414,2.0000,2.5000,0.17181,0.15,0.20,FuuA,438.17503,306.84720,65.72625,He3,K+
70,11,0.291,0.25,0.50,0.46952,0.475,0.45,0.50,2.2425,2.0000,2.5000,0.22009,0.20,0.25,FuuA,404.75166,219.72255,60.71275,He3,K+
71,11,0.290,0.25,0.50,0.47067,0.475,0.45,0.50,2.2431,2.0000,2.5000,0.27363,0.25,0.30,FuuA,364.10968,309.96240,54.61645,He3,K+
72,11,0.290,0.25,0.50,0.47176,0.475,0.45,0.50,2.2431,2.0000,2.5000,0.31545,0.30,0.35,FuuA,330.27541,306.84720,49.54131,He3,K+
73,11,0.288,0.25,0.50,0.47490,0.475,0.45,0.50,2.2430,2.0000,2.5000,0.36285,0.35,0.40,FuuA,291.00016,312.68820,43.65002,He3,K+
74,11,0.284,0.25,0.50,0.47946,0.475,0.45,0.50,2.2429,2.0000,2.5000,0.41691,0.40,0.45,FuuA,246.47667,323.98080,36.97150,He3,K+
75,11,0.280,0.25,0.50,0.48681,0.475,0.45,0.50,2.2451,2.0000,2.5000,0.48184,0.45,0.50,FuuA,194.97451,335.27340,29.24618,He3,K+
76,11,0.271,0.25,0.50,0.50585,0.474,0.45,0.50,2.2582,2.0000,2.5000,0.60524,0.55,1.60,FuuA,115.27154,297.74740,17.29073,He3,K+
77,11,0.282,0.25,0.50,0.48351,0.524,0.50,0.55,2.2424,2.0000,2.5000,0.06746,0.00,0.10,FuuA,401.96522,271.41180,60.29478,He3,K+
78,11,0.285,0.25,0.50,0.47895,0.524,0.50,0.55,2.2438,2.0000,2.5000,0.12712,0.10,0.15,FuuA,384.18605,275.30580,57.62791,He3,K+
79,11,0.287,0.25,0.50,0.47493,0.525,0.50,0.55,2.2421,2.0000,2.5000,0.17160,0.15,0.20,FuuA,366.87273,273.35880,55.03091,He3,K+
80,11,0.289,0.25,0.50,0.47175,0.525,0.50,0.55,2.2416,2.0000,2.5000,0.21345,0.20,0.25,FuuA,346.56759,276.08460,51.98514,He3,K+
81,11,0.290,0.25,0.50,0.47132,0.525,0.50,0.55,2.2429,2.0000,2.5000,0.25519,0.25,0.30,FuuA,322.68995,289.71360,48.40349,He3,K+
82,11,0.287,0.25,0.50,0.47609,0.524,0.50,0.55,2.2442,2.0000,2.5000,0.30150,0.30,0.35,FuuA,294.38241,292.43940,44.15736,He3,K+
83,11,0.284,0.25,0.50,0.48120,0.524,0.50,0.55,2.2449,2.0000,2.5000,0.35669,0.35,0.40,FuuA,258.81375,299.83800,38.82206,He3,K+
84,11,0.280,0.25,0.50,0.48797,0.524,0.50,0.55,2.2464,2.0000,2.5000,0.42357,0.40,0.45,FuuA,214.73658,307.23660,32.21049,He3,K+
85,11,0.273,0.25,0.50,0.49945,0.524,0.50,0.55,2.2518,2.0000,2.5000,0.51586,0.50,0.55,FuuA,156.82801,316.19280,23.52420,He3,K+
86,11,0.264,0.25,0.50,0.52189,0.523,0.50,0.55,2.2780,2.0000,2.5000,0.64075,0.55,1.60,FuuA,90.71311,498.43200,13.60697,He3,K+
87,11,0.281,0.25,0.50,0.48570,0.574,0.55,0.60,2.2423,2.0000,2.5000,0.07841,0.00,0.10,FuuA,338.09716,251.55240,50.71457,He3,K+
88,11,0.282,0.25,0.50,0.48400,0.574,0.55,0.60,2.2447,2.0000,2.5000,0.15093,0.15,0.20,FuuA,319.68018,258.95100,47.95203,He3,K+
89,11,0.283,0.25,0.50,0.48230,0.574,0.55,0.60,2.2432,2.0000,2.5000,0.20573,0.20,0.25,FuuA,301.13553,267.90720,45.17033,He3,K+
90,11,0.283,0.25,0.50,0.48270,0.574,0.55,0.60,2.2450,2.0000,2.5000,0.25949,0.25,0.30,FuuA,277.51887,277.25280,41.62783,He3,K+
91,11,0.279,0.25,0.50,0.48885,0.574,0.55,0.60,2.2470,2.0000,2.5000,0.32211,0.30,0.35,FuuA,246.69676,285.43020,37.00451,He3,K+
92,11,0.274,0.25,0.50,0.49718,0.574,0.55,0.60,2.2484,2.0000,2.5000,0.40675,0.40,0.45,FuuA,202.48490,283.48320,30.37274,He3,K+
93,11,0.266,0.25,0.50,0.51631,0.572,0.55,0.60,2.2690,2.0000,2.5000,0.53753,0.50,0.55,FuuA,133.31776,339.94620,19.99766,He3,K+
94,11,0.318,0.25,0.50,0.52384,0.327,0.30,0.35,2.7234,2.5000,3.0000,0.07570,0.00,0.10,FuuA,338.67171,364.67508,50.80076,He3,K+
95,11,0.323,0.25,0.50,0.51474,0.328,0.30,0.35,2.7155,2.5000,3.0000,0.13616,0.10,0.15,FuuA,319.14426,522.18540,47.87164,He3,K+
96,11,0.323,0.25,0.50,0.51416,0.328,0.30,0.35,2.7165,2.5000,3.0000,0.17517,0.15,0.20,FuuA,298.71528,528.02640,44.80729,He3,K+
97,11,0.322,0.25,0.50,0.51570,0.328,0.30,0.35,2.7166,2.5000,3.0000,0.21937,0.20,0.25,FuuA,270.41080,526.46880,40.56162,He3,K+
98,11,0.322,0.25,0.50,0.51642,0.327,0.30,0.35,2.7175,2.5000,3.0000,0.27135,0.25,0.30,FuuA,234.11041,505.83060,35.11656,He3,K+
99,11,0.322,0.25,0.50,0.51576,0.327,0.30,0.35,2.7162,2.5000,3.0000,0.33225,0.30,0.35,FuuA,190.61651,511.67160,28.59248,He3,K+
100,11,0.322,0.25,0.50,0.51597,0.327,0.30,0.35,2.7150,2.5000,3.0000,0.40007,0.40,0.45,FuuA,144.08020,522.57480,21.61203,He3,K+
101,11,0.315,0.25,0.50,0.52565,0.326,0.30,0.35,2.7141,2.5000,3.0000,0.48104,0.45,0.50,FuuA,96.68471,527.24760,14.50271,He3,K+
102,11,0.302,0.25,0.50,0.55283,0.330,0.30,0.35,2.7494,2.5000,3.0000,0.59042,0.55,1.60,FuuA,52.65269,590.61293,7.89790,He3,K+
103,11,0.316,0.25,0.50,0.52538,0.374,0.35,0.40,2.7191,2.5000,3.0000,0.06534,0.00,0.10,FuuA,445.83109,374.21340,66.87466,He3,K+
104,11,0.320,0.25,0.50,0.51790,0.375,0.35,0.40,2.7140,2.5000,3.0000,0.12459,0.10,0.15,FuuA,420.39584,376.93920,63.05938,He3,K+
105,11,0.324,0.25,0.50,0.51056,0.375,0.35,0.40,2.7076,2.5000,3.0000,0.17309,0.15,0.20,FuuA,390.58185,382.39080,58.58728,He3,K+
106,11,0.324,0.25,0.50,0.51210,0.375,0.35,0.40,2.7109,2.5000,3.0000,0.22523,0.20,0.25,FuuA,350.94795,396.01980,52.64219,He3,K+
107,11,0.323,0.25,0.50,0.51321,0.375,0.35,0.40,2.7107,2.5000,3.0000,0.28735,0.25,0.30,FuuA,299.56414,380.83320,44.93462,He3,K+
108,11,0.323,0.25,0.50,0.51371,0.375,0.35,0.40,2.7100,2.5000,3.0000,0.36584,0.35,0.40,FuuA,231.85441,371.87700,34.77816,He3,K+
109,11,0.317,0.25,0.50,0.52187,0.375,0.35,0.40,2.7107,2.5000,3.0000,0.46675,0.45,0.50,FuuA,153.06540,389.40000,22.95981,He3,K+
110,11,0.301,0.25,0.50,0.55303,0.375,0.35,0.40,2.7416,2.5000,3.0000,0.62136,0.55,1.60,FuuA,64.78363,437.68560,9.71754,He3,K+
111,11,0.316,0.25,0.50,0.52453,0.424,0.40,0.45,2.7179,2.5000,3.0000,0.07979,0.00,0.10,FuuA,350.67372,334.88400,52.60106,He3,K+
112,11,0.321,0.25,0.50,0.51565,0.425,0.40,0.45,2.7114,2.5000,3.0000,0.15333,0.15,0.20,FuuA,324.17217,339.55680,48.62583,He3,K+
113,11,0.325,0.25,0.50,0.50923,0.425,0.40,0.45,2.7078,2.5000,3.0000,0.21695,0.20,0.25,FuuA,291.31176,339.94620,43.69676,He3,K+
114,11,0.324,0.25,0.50,0.51157,0.425,0.40,0.45,2.7104,2.5000,3.0000,0.29352,0.25,0.30,FuuA,244.16470,338.38860,36.62470,He3,K+
115,11,0.321,0.25,0.50,0.51519,0.425,0.40,0.45,2.7099,2.5000,3.0000,0.39294,0.35,0.40,FuuA,180.46802,338.38860,27.07020,He3,K+
116,11,0.308,0.25,0.50,0.53799,0.425,0.40,0.45,2.7218,2.5000,3.0000,0.53730,0.50,0.55,FuuA,99.28147,380.83320,14.89222,He3,K+
117,11,0.292,0.25,0.50,0.57532,0.425,0.40,0.45,2.7677,2.5000,3.0000,0.72583,0.55,1.60,FuuA,33.07505,729.73560,4.96126,He3,K+
